"id1","id2","id3","id4","hhmid","s1ei_1","s1ei_2","s1ei_3","s1ei_4","s1ei_5","s1ei_6i","s1ei_6ii","s1ei_7i","s1ei_7ii","s1ei_7iii","s1ei_8i","s1ei_8ii","s1ei_9","s1ei_10i","s1ei_10ii","s1ei_11","s1ei_12","s1ei_13i","s1ei_13ii","s1ei_14","s1ei_15","s1ei_16","s1ei_17","s1ei_18","s1ei_19","s1ei_20","s1ei_21","s1ei_22","s1ei_23","s1ei_24","s1ei_25i","s1ei_25ii","s1ei_25iii","s1ei_26","s1ei_27","s1ei_28","s1ei_29i","s1ei_29ii","hhno"
1,10,27,60,2,1,"CARRY SAND",711,"SMALL SCALE MINING",1321,,1,4,5,6,5,6,1,3,,1,2,,,,2,2,2,4,2,2,2,6,28,2,,,,,,,,,101027060
1,10,27,60,1,1,"DRIVING",511,"TRANSPORT",6021,4,,52,7,9,7,9,1,130,,3,2,,,,1,1,1,1,1,1,1,8,12,2,,,,,,,,,101027060
1,11,31,24,1,1,"WASHING CARS",912,"CAR WASH",9309,6,,52,7,15,7,15,1,25,,2,2,,,,2,2,2,2,2,2,2,10,3,2,,,,,,,,,101031024
1,11,31,74,1,1,"WRITE LOTTO COUPONS",911,"LOTTO OPERATOR",9249,5,,48,2,5,2,4,1,3,,1,2,,,,2,2,1,4,2,2,2,2,1,2,,,,,,,,,101031074
1,12,30,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030004
1,12,30,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030004
1,12,30,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030004
1,12,30,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030004
1,12,30,4,5,1,"DRIVING TAXI",832,"TRANSPORTATION (TAXI)",6022,,4,16,6,12,6,12,1,40,,3,2,,,,2,2,2,4,2,1,2,12,,2,,,,,,,,,101030004
1,13,9,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,4,1,"PARTY DECORATION",521,"DECOR",9214,2,,26,4,5,1,5,1,80,,3,2,,,,2,2,2,4,2,2,2,1,9,2,,,,,,,,,101009061
1,13,9,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,94,1,1,"PROVISION WHOLESALE WORKER",522,"WHOLESALE",5190,,8,32,6,9,6,9,1,100,,3,2,,,,2,2,2,4,2,2,2,9,5,2,,,,,,,,,101009094
1,13,9,108,1,1,"PRIVATE SECURITY",21,"PRIVATE SECURITY",7523,4,,52,7,12,7,12,1,75,,3,2,,,,2,2,2,1,1,1,2,2,1,2,,,,,,,,,101009108
1,13,9,180,1,1,"MARINE ENGINEER",834,"TRANSPORT",3511,7,6,52,7,8,7,8,1,580,,3,2,,,,1,1,1,1,1,1,1,4,8,2,,,,,,,,,101009180
1,13,9,195,1,1,"INDUSTRIAL BOILER OPERATOR",812,"INDUSTRIAL BOILER OPERATOR",2710,33,,52,6,8,6,8,1,460,,3,2,,,,1,1,2,1,1,1,1,3,300,2,,,,,,,,,101009195
1,13,9,206,1,1,"FOOTBALL COACH",347,"SPORTING",9241,2,,52,5,4,5,4,1,200,,3,1,200,,3,1,2,1,4,2,2,2,20,43,1,,2,,9,1,2,,,101009206
1,13,9,210,1,1,"ORGANIST TEACHER",334,"EDUCATION",8090,3,,52,6,3,6,3,1,320,,3,2,,,,2,2,2,1,2,2,1,18,4,2,,,,,,,,,101009210
1,13,9,222,2,1,"ACCOUNTANT",343,"ADMINISTRATION ACCOUNTANT",7412,,5,20,5,8,5,8,1,140,,3,2,,,,1,1,2,1,2,1,1,1,60,2,,,,,,,,,101009222
1,13,9,222,1,1,"COMMUNITY HEALTH NURSE",223,"HEALTH",8511,20,,52,5,8,5,8,1,390,,3,2,,,,1,1,1,3,1,1,1,15,5,1,1,,,7,1,2,,,101009222
1,13,9,227,1,1,"ADMINISTRATIVE OFFICER ADVERTI",343,"ADMINISTRATION",6711,11,,52,6,10,6,10,1,650,,3,2,,,,2,2,2,4,1,1,2,1,15,2,,,,,,,,,101009227
1,13,9,235,1,1,"PLANTATION HR",122,"HUMAN RESOURCE",140,20,,12,6,8,6,8,1,1500,,3,2,,,,1,1,1,1,1,1,1,6,130,2,,,,,,,,,101009235
1,13,9,258,1,1,"MECHANICAL ENGINEER",812,"MANUFACTURING METAL",2710,10,,52,6,8,6,8,1,420,,3,1,200,,6,1,1,1,1,1,1,1,3,360,2,,,,,,,,,101009258
1,13,10,40,1,1,"PAINTING",714,"SERVICE",7493,10,,50,6,8,6,8,1,150,,3,2,,,,2,2,2,4,2,2,2,13,1,2,,,,,,,,,101010040
1,13,10,88,1,1,"CARETAKER",913,"SERVICE",9500,10,,48,5,8,5,8,1,100,,3,2,,,,2,2,1,4,2,2,2,2,1,2,,,,,,,,,101010088
1,13,10,95,1,1,"PART-TIME COMMERCIAL DRIVER",831,"TRANSPORTATION",6022,2,,40,2,6,3,6,1,5,,1,2,,,,2,1,2,4,2,2,2,12,100,2,,,,,,,,,101010095
1,13,10,113,1,1,"TEACHING",331,"TEACHING",8010,,3,14,5,8,5,8,1,170,,3,2,,,,1,2,2,1,2,2,1,14,19,1,,2,,5,4,2,,,101010113
1,13,10,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101010150
1,13,10,150,2,1,"HOUSEHELP",512,"SERVICE",9500,,4,16,6,4,6,4,1,100,,3,2,,,,2,2,2,4,2,2,2,13,1,2,,,,,,,,,101010150
1,13,10,163,1,1,"SALES PROVISIONS",522,"RETAIL TRADE",5252,1,1,52,6,11,6,11,1,15,,3,1,80,,6,2,2,2,4,2,2,2,9,1,2,,,,,,,,,101010163
1,13,10,164,1,1,"SALES PERSON",522,"SERVICE",5233,,6,26,6,11,6,11,1,70,,3,2,,,,2,2,2,4,2,2,2,9,3,2,,,,,,,,,101010164
1,13,10,175,1,,,831,"TRANSPORTATION",6022,10,,36,7,14,,,1,100,,3,2,,,,2,1,2,4,2,2,2,12,40,2,,,,,,,,,101010175
1,13,10,193,1,1,"SALE PERSON",522,"RETAIL TRADE",5234,,1,4,4,12,6,12,1,40,,3,2,,,,2,2,2,4,2,2,2,9,1,2,,,,,,,,,101010193
1,13,11,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101011028
1,13,11,28,2,1,"TAKES CARE OF PIPES AND PUMPS",913,"PLUMBING SERVICES",4530,1,,40,6,10,6,10,1,120,,3,2,,,,1,1,2,3,1,1,2,3,,2,,,,,,,,,101011028
1,13,11,31,1,1,"HEAD TEACHER AT A PRE-SCHOOL",233,"EDUCATION",8010,20,,38,5,8,1,8,1,230,,3,2,,,,1,1,1,3,1,1,2,14,5,2,,,,,,,,,101011031
1,13,11,48,1,1,"RECIEVING CASH AND DEPOSITING",341,"ACCOUNTING SERVICES",6519,15,,26,5,8,5,5,1,463,,3,2,,,,1,1,2,1,1,2,2,1,55,2,,,,,,,,,101011048
