"id1","id2","hhno","hhmid","s1gii_14","s1gii_15","s1gii_16i","s1gii_16_11","s1gii_16_112","s1gii_16ii","s1gii_16_211","s1gii_16_212","s1gii_16iii","s1gii_16_311","s1gii_16_312","s1gii_16iv","s1gii_16_411","s1gii_16_412","s1gii_17i","s1gii_17ii","s1gii_17iii","s1gii_17iv","s1gii_18i","s1gii_18ii","s1gii_18iii","s1gii_18iv","s1gii_19i","s1gii_19ii","s1gii_19iii","s1gii_19iv","s1gii_20i","s1gii_20ii","s1gii_20iii","s1gii_20iv","s1gii_21i","s1gii_21ii","s1gii_21iii","s1gii_21iv","s1gii_22i","s1gii_22ii","s1gii_22iiii","s1gii_22iv","s1gii_23i","s1gii_23ii","s1gii_23iii","s1gii_23iv","s1gii_24i","s1gii_2ii","s1gii_24iii","s1gii_24iv","s1gii_25i","s1gii_25ii","s1gii_25iii","s1gii_25iv","s1gii_26i","s1gii_26ii","s1gii_26iii","s1gii_26iv","s1gii_27i","s1gii_27ii","s1gii_27iii","s1gii_27iv","s1gii_28i","s1gii_28ii","s1gii_28iii","s1gii_28iv","s1gii_29i","s1gii_29ii","s1gii_29iii","s1gii_29iv"
1,8,101013008,2,1,1,12,,"KETAN",,,,,,,,,,1,,,,,,,,10,,,,21,,,,6,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,911,,,,5211,,,
1,8,101013008,1,1,1,12,,"KETAN",,,,,,,,,,1,,,,,,,,15,,,,20,,,,7,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,911,,,,5211,,,
1,8,101013015,1,1,2,5,,,1,,,,,,,,,3,6,,,,,,,30,25,,,31,27,,,2,2,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013019,3,3,1,9,,,,,,,,,,,,1,,,,,,,,10,,,,16,,,,9,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013019,2,2,1,12,,"AYORBO",,,,,,,,,,1,,,,,,,,14,,,,19,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013020,3,1,1,11,"MPOHOR",,,,,,,,,,,1,,,,,,,,13,,,,14,,,,9,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013028,1,1,2,12,,"BREMAN ESSIAM",5,,,,,,,,,2,3,,,,,,,15,5,,,25,15,,,7,9,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013030,1,1,1,11,"DUNKWA OFFIN",,,,,,,,,,,2,,,,,,,,20,,,,22,,,,2,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,611,,,,111,,,
1,8,101013032,1,1,1,12,,"ADUMBASU",,,,,,,,,,1,,,,,,,,6,,,,7,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013036,3,1,1,12,,"WASSA ADANSI",,,,,,,,,,1,,,,,,,,4,,,,6,,,,5,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013036,1,1,1,12,,"WASSA ADANSI",,,,,,,,,,1,,,,,,,,36,,,,38,,,,2,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013036,2,1,1,12,,"WASSA ADANSI",,,,,,,,,,1,,,,,,,,32,,,,34,,,,4,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013048,1,1,3,,,,1,,,9,,,,,,,6,1,,7,,,,22,20,2,,29,22,20,,2,2,2,,5,5,1,,1,1,2,,3,3,,,1,1,,,1,1,,,,2,,,713,522,,,4520,5232,,
1,8,101013048,2,2,2,11,"TWIFO PRASO",,11,"WASSA AKROPONG",,,,,,,,1,1,,,,,,,22,7,,,27,22,,,2,9,,,5,4,,,1,2,,,3,,,,,,,,1,,,,,2,,,921,,,,140,,,
1,8,101013066,1,1,2,5,,,9,,,,,,,,,3,1,,,,,,,22,20,,,23,22,,,7,6,,,4,3,,,2,1,,,,3,,,,2,,,,36,,,,2,,,,342,,,,6599,,
1,8,101013087,3,2,1,9,,,,,,,,,,,,1,,,,,,,,14,,,,16,,,,2,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013095,3,3,1,,,,,,,,,,,,,,,,,25,,,,20,,,,30,,,,9,,,,5,,,,1,,,,4,4,,,3,,,,1,,,,2,,,,911,,,,5233,,,
1,8,101013095,1,1,1,9,,,,,,,,,,,,1,,,,,,,,40,,,,50,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013095,2,1,3,9,,,5,,,12,,"AWUKUGUA",,,,1,3,5,,,,,,38,16,1,,43,19,16,,4,7,5,,3,4,1,,1,2,2,,4,,,,1,,,,6,,,,2,,,,911,,,,5233,,,
1,8,101013103,1,1,1,12,,"DOMINASE",,,,,,,,,,1,,,,,,,,11,,,,16,,,,9,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014015,2,2,3,10,,,11,"NEW ADIBIASE",,12,,"ATAIKU",,,,4,1,1,,,,,,18,15,10,,28,18,15,,9,9,9,,4,4,4,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014015,1,1,1,11,"TARKWA",,,,,,,,,,,1,,,,,,,,20,,,,22,,,,14,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014022,1,1,1,11,"AVEDAKPA",,,,,,,,,,,4,,,,,,,,24,,,,29,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014033,1,1,1,5,,,,,,,,,,,,3,,,,,,,,21,,,,23,,,,14,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014036,1,1,1,11,"TARKWA",,,,,,,,,,,1,,,,,,,,18,,,,24,,,,14,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014046,1,1,1,12,,"BODEA",,,,,,,,,,1,,,,,,,,18,,,,25,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014057,1,1,1,,,,,,,,,,,,,,,,,1,,,,27,,,,28,,,,2,,,,6,,,,1,,,,4,,,,1,,,,2,,,,2,,,,233,,,,8010,,,
1,8,101014061,1,1,1,5,,,,,,,,,,,,3,,,,,,,,16,,,,17,,,,9,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014069,1,1,1,11,"ASSIN FOSU",,,,,,,,,,,2,,,,,,,,20,,,,22,,,,2,,,,4,,,,1,,,,1,,,,1,,,,1,,,,2,,,,313,,,,2222,,,
1,8,101014069,2,2,1,11,"PRASO",,,,,,,,,,,2,,,,,,,,16,,,,18,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014082,3,3,3,5,,,9,,,11,"DABOASI",,,,,3,1,1,,,,,,20,15,3,,21,20,15,,7,7,9,,4,4,4,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101014113,1,1,4,11,"ASSIN FOSU",,5,,,11,"AGONA SWEDRU",,12,,"SUBRI",2,3,2,1,,,,,25,23,17,10,28,25,23,17,7,14,14,13,4,4,4,4,1,2,2,2,1,,,,1,,,,1,,,,2,,,,523,,,,5233,,,
1,8,101014129,2,2,1,5,,,,,,,,,,,,3,,,,,,,,18,,,,20,,,,2,,,,4,,,,1,,,,2,,,,2,,,,1,,,,2,,,,911,,,,5219,,,
1,8,101014129,1,1,1,9,,,,,,,,,,,,1,,,,,,,,15,,,,25,,,,14,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015006,1,1,2,1,,,11,"OPONG VALLEY",,,,,,,,6,1,,,,,,,35,32,,,37,35,,,3,1,,,1,6,,,1,1,,,2,1,,,2,1,,,1,,,,1,2,,,832,833,,,6022,6023,,
1,8,101015009,1,1,2,5,,,9,,,,,,,,,3,1,,,,,,,54,46,,,58,54,,,2,2,,,5,4,,,1,1,,,4,2,,,1,2,,,1,,,,2,2,,,513,932,,,9302,9309,,
1,8,101015034,1,1,3,9,,,11,"PRETEA",,1,,,,,,1,1,6,,,,,,32,25,21,,37,30,24,,3,3,2,,4,4,4,,1,1,2,,4,4,,,1,1,,,1,1,,,2,2,,,744,744,,,1920,1920,,
1,8,101015049,1,1,1,11,"ADUM BANSO",,,,,,,,,,,1,,,,,,,,2,,,,20,,,,7,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015055,1,1,1,11,"BOGOSO",,,,,,,,,,,1,,,,,,,,9,,,,11,,,,13,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015055,2,1,1,11,"BOGOSO",,,,,,,,,,,1,,,,,,,,9,,,,11,,,,13,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015065,1,1,2,,,,11,"PRETEA",,,,,,,,,1,,,7,,,,19,4,,,30,18,,,2,7,,,6,4,,,1,2,,,4,,,,1,,,,4,,,,2,,,,741,,,,5122,,,
1,8,101015090,1,1,2,11,"WASSA DUNKWA",,,,,,,,,,,1,,,,,,,,41,20,,,42,23,,,2,2,,,5,5,,,2,1,,,,2,,,,2,,,,2,,,,2,,,,712,,,,4520,,
1,8,101015119,2,2,1,11,"DABOASE",,,,,,,,,,,1,,,,,,,,15,,,,19,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015120,1,1,1,11,"BOPP",,,,,,,,,,,1,,,,,,,,29,,,,37,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015149,1,1,2,11,"SAMRATOI",,9,,,,,,,,,1,1,,,,,,,31,22,,,32,24,,,13,13,,,4,5,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015151,1,1,3,9,,,11,"TARKWA",,11,"OBUASI",,,,,1,1,6,,,,,,24,20,18,,26,23,20,,7,1,2,,4,6,4,,2,1,1,,,1,4,,,1,2,,,,6,,,2,2,,,21,711,,,9500,1321,
1,8,101015188,1,1,1,11,"NSUAEM",,,,,,,,,,,1,,,,,,,,15,,,,17,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101015191,1,1,1,11,"AYIEM",,,,,,,,,,,1,,,,,,,,40,,,,42,,,,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101016041,1,1,2,11,"AXIM",,11,"ASAMANKESI",,,,,,,,1,5,,,,,,,24,19,,,25,24,,,7,7,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101016051,1,1,2,11,"ABOADI",,11,"PRESTIA",,,,,,,,1,1,,,,,,,32,25,,,35,26,,,6,7,,,3,4,,,1,2,,,1,,,,2,,,,12,,,,2,,,,741,,,,1541,,,
1,8,101016053,1,1,2,,,,11,"EKYESO",,,,,,,,,2,,,7,,,,35,22,,,40,24,,,2,7,,,6,4,,,1,1,,,4,4,,,1,2,,,5,1,,,2,1,,,521,921,,,1810,140,,
1,8,101016107,1,1,2,11,"TARKWA",,9,,,,,,,,,1,1,,,,,,,13,8,,,18,13,,,7,7,,,4,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101016111,1,1,1,9,,,,,,,,,,,,1,,,,,,,,15,,,,18,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101016137,1,1,1,11,"APOWIN",,,,,,,,,,,1,,,,,,,,26,,,,27,,,,6,,,,3,,,,1,,,,2,,,,2,,,,3,,,,2,,,,523,,,,5141,,,
1,8,101016144,1,1,1,5,,,,,,,,,,,,3,,,,,,,,20,,,,22,,,,2,,,,4,,,,1,,,,4,,,,2,,,,3,,,,2,,,,713,,,,4520,,,
1,8,101016145,1,1,2,5,,,1,,,,,,,,,3,6,,,,,,,17,8,,,18,14,,,7,7,,,1,4,,,1,2,,,1,,,,2,,,,1,,,,2,,,,911,,,,5220,,,
