"id1","id2","id3","id4","hhmid","s10aii_a17","s10aii_a18","hhno"
1,12,29,11,2,5,2,101029011
1,12,29,17,1,1,1,101029017
1,12,29,20,1,4,3,101029020
1,12,29,23,1,1,1,101029023
1,12,29,23,2,5,4,101029023
1,12,29,23,4,1,1,101029023
1,12,29,29,1,2,1,101029029
1,12,29,29,2,2,1,101029029
1,12,29,33,1,10,10,101029033
1,12,29,33,2,1,1,101029033
1,12,29,33,3,1,1,101029033
1,12,29,34,1,10,10,101029034
1,12,29,34,2,10,10,101029034
1,12,29,34,3,5,5,101029034
1,12,29,36,1,10,5,101029036
1,12,29,37,1,5,5,101029037
1,12,29,39,1,3,1,101029039
1,12,29,39,2,5,2,101029039
1,12,29,39,3,1,1,101029039
1,12,29,40,1,10,5,101029040
1,12,30,4,1,8,5,101030004
1,12,30,4,2,7,4,101030004
1,12,30,4,3,5,2,101030004
1,12,30,6,1,5,3,101030006
1,12,30,6,2,5,3,101030006
1,12,30,6,3,5,3,101030006
1,12,30,10,1,5,3,101030010
1,12,30,10,2,5,3,101030010
1,12,30,16,1,4,2,101030016
1,12,30,16,2,4,2,101030016
1,12,30,16,3,1,1,101030016
1,12,30,21,1,4,2,101030021
1,12,30,21,2,3,2,101030021
1,12,30,21,3,3,2,101030021
1,12,30,22,1,5,3,101030022
1,12,30,22,2,4,3,101030022
1,12,30,22,3,4,3,101030022
1,12,30,27,1,2,1,101030027
1,12,30,27,2,3,2,101030027
1,12,30,30,1,4,2,101030030
1,12,30,31,1,5,2,101030031
1,12,30,31,2,3,2,101030031
1,12,30,38,1,5,3,101030038
1,12,30,38,2,2,1,101030038
1,12,30,38,3,2,1,101030038
1,12,30,43,1,4,2,101030043
1,12,30,43,2,2,1,101030043
1,12,30,43,4,2,2,101030043
1,12,30,5,1,5,2,101030005
1,12,30,5,2,4,2,101030005
1,12,30,5,3,5,3,101030005
1,12,30,54,1,2,1,101030054
1,12,30,54,2,2,1,101030054
1,12,30,56,1,4,2,101030056
1,12,30,56,2,4,1,101030056
1,12,30,56,3,4,1,101030056
1,12,30,63,1,3,2,101030063
1,13,9,61,1,7,7,101009061
1,13,9,61,2,5,2,101009061
1,13,9,61,6,4,4,101009061
1,13,9,68,1,3,3,101009068
1,13,9,68,2,4,5,101009068
1,13,9,68,3,5,6,101009068
1,13,9,94,1,5,3,101009094
1,13,9,108,1,4,4,101009108
1,13,9,136,1,4,4,101009136
1,13,9,180,1,5,5,101009180
1,13,9,180,2,6,5,101009180
1,13,9,180,6,4,2,101009180
1,13,9,191,1,2,2,101009191
1,13,9,191,2,3,2,101009191
1,13,9,195,1,5,5,101009195
1,13,9,195,2,4,3,101009195
1,13,9,195,4,4,3,101009195
1,13,9,206,1,6,2,101009206
1,13,9,210,1,7,6,101009210
1,13,9,222,1,5,4,101009222
1,13,9,222,2,9,9,101009222
1,13,9,222,3,4,4,101009222
1,13,9,227,1,5,6,101009227
1,13,9,227,2,4,5,101009227
1,13,9,227,3,3,4,101009227
1,13,9,235,1,4,3,101009235
1,13,9,235,2,4,4,101009235
1,13,9,235,3,7,3,101009235
1,13,9,258,1,5,5,101009258
1,13,9,258,2,8,2,101009258
1,13,9,258,3,2,2,101009258
1,13,9,262,1,1,1,101009262
1,13,9,262,2,2,1,101009262
1,13,10,40,1,5,3,101010040
1,13,10,40,2,10,6,101010040
1,13,10,40,5,5,2,101010040
1,13,10,57,1,1,1,101010057
1,13,10,64,1,3,2,101010064
1,13,10,64,2,3,2,101010064
1,13,10,64,3,5,2,101010064
1,13,10,75,1,1,1,101010075
1,13,10,88,1,5,4,101010088
1,13,10,88,2,5,3,101010088
1,13,10,88,4,5,3,101010088
1,13,10,89,1,6,4,101010089
1,13,10,95,1,3,2,101010095
1,13,10,95,2,5,5,101010095
1,13,10,95,3,2,2,101010095
1,13,10,113,1,8,3,101010113
1,13,10,132,1,4,3,101010132
1,13,10,150,1,4,2,101010150
