"id1","id2","id3","id4","s9d_id","s9d_i","s9d_ii","s9d_1","s9d_2","s9d_3","s9d_4","s9d_5","s9d_6","s9d_7","s9d_8","s9d_iii","s9d_iv","hhno"
1,10,18,33,2,3,0,"D","C","B","C","D","B","B","C",3,2,101018033
1,10,18,33,4,3,5,"D","C","B","C","D","D","B","D",3,8,101018033
1,10,18,43,3,14,50,"C","C","B","C","D","C","C","D",14,56,101018043
1,10,18,58,2,8,0,"D","C","B","C","D","D","B","D",8,2,101018058
1,10,19,4,4,15,39,"D","C","B","C","D","D","B","A",15,42,101019004
1,10,19,4,5,15,43,"D","C","B","B","D","C","C","D",15,47,101019004
1,10,19,4,8,15,48,"D","C","B","C","D","B","B","C",15,51,101019004
1,10,19,5,2,2,17,"D","C","B","C","D","D","B","D",2,18,101019005
1,10,19,5,3,2,20,"D","C","B","B","D","B","B","D",2,22,101019005
1,10,19,6,3,4,50,"D","C","B","B","D","B","B","B",4,51,101019006
1,10,19,8,3,2,30,"D","C","B","B","C","B","C","C",2,33,101019008
1,10,19,10,2,14,43,"D","C","B","B","D","B","B","B",14,46,101019010
1,10,19,11,3,18,30,"D","C","B","C","D","C","B","C",18,32,101019011
1,10,19,13,2,9,13,"D","C","B","C","B","D","B","B",9,17,101019013
1,10,19,17,4,2,50,"D","C","B","C","D","B","B","C",2,52,101019017
1,10,19,20,3,10,50,"D","C","B","C","D","C","B","C",10,52,101019020
1,10,20,2,1,14,30,"D","C","B","C","D","B","B","C",14,35,101020002
1,10,20,4,5,15,36,"D","C","B","B","D","B","B","A",15,44,101020004
1,10,20,4,4,15,27,"D","C","B","C","D","B","C","C",15,35,101020004
1,10,20,4,3,15,20,"D","C","B","C","D","B","B","C",15,26,101020004
1,10,20,14,2,14,45,"D","C","B","C","B","B","C","D",14,55,101020014
1,10,20,16,3,15,10,"D","C","B","C","D","B","C","B",15,18,101020016
1,10,20,16,4,15,22,"D","C","B","C","D","D","A","A",15,29,101020016
1,10,20,21,2,15,0,"D","C","B","C","D","B","B","C",15,5,101020021
1,10,20,21,3,15,6,"D","C","B","B","D","B","A","D",15,12,101020021
1,10,20,24,2,14,55,"D","C","B","C","D","B","C","C",15,7,101020024
1,10,20,35,2,14,30,"D","C","B","C","D","B","B","C",14,40,101020035
1,10,20,35,3,14,41,"D","C","B","C","D","B","B","C",14,48,101020035
1,10,21,1,2,2,5,"D","C","B","C","D","B","B","C",2,8,101021001
1,10,21,7,3,11,45,"D","C","A","C","D","D","C","D",11,47,101021007
1,10,21,26,3,2,15,"D","C","B","C","D","C","B","D",2,17,101021026
1,10,21,30,2,4,30,"D","C","B","C","D","B","B","D",4,32,101021030
1,10,21,34,1,9,50,"D","A","A","B","D","D","D","D",9,43,101021034
1,10,21,51,2,9,43,"D","A","B","B","D","D","C","C",9,47,101021051
