"id1","id2","id3","id4","hhmid","s9a_iii","s9a_01","s9a_02","s9a_03","s9a_a1","s9a_a2","s9a_a3","s9a_a4","s9a_a5","s9a_a6","s9a_a7","s9a_a8","s9a_a9","s9a_a10","s9a_a11","s9a_a12","s9a_a13","s9a_a14i","s9a_a14ii","hhno"
2,29,43,113,3,2,1,,,1,8,0,6,6,2,2,1,1,0,1,12,2,,,102043113
2,29,44,13,7,2,1,,,1,87,3,3,6,2,2,1,0,0,1,12,2,,,102044013
2,29,44,79,3,1,1,,,1,87,6,6,6,2,2,1,0,0,1,12,2,,,102044079
2,29,44,128,3,2,1,,,1,18,3,6,6,2,2,1,0,0,2,,,,,102044128
2,29,44,128,4,2,1,,,1,27,3,6,6,2,2,1,0,0,1,12,2,,,102044128
2,6,45,13,7,2,1,,,1,87,0,3,5,2,2,1,2,0,1,4,2,,,102045013
2,6,45,18,3,1,1,,,2,87,3,3,6,2,2,1,,,1,3,2,,,102045018
2,6,45,26,4,1,1,,,1,87,87,87,87,2,2,1,,,1,2,2,,,102045026
2,6,45,47,2,1,1,,,1,87,7,7,7,2,2,1,1,0,1,2,2,,,102045047
2,27,46,12,3,1,1,,,1,87,6,6,6,2,2,1,0,0,1,4,2,,,102046012
2,27,46,36,3,2,1,,,2,6,6,6,12,2,2,1,,,1,4,2,,,102046036
2,27,46,54,5,1,1,,,1,24,6,8,6,2,2,3,2,2,1,3,2,,,102046054
2,27,46,81,2,1,1,,,1,24,7,7,7,2,2,1,,,1,3,2,,,102046081
2,27,46,90,3,2,1,,,1,87,6,6,6,2,2,1,,,1,9,2,,,102046090
2,27,46,99,3,2,1,,,1,24,2,12,14,2,2,1,,,2,,,,,102046099
2,27,46,99,4,2,1,,,1,14,1,14,6,2,2,1,,,2,,,,,102046099
2,27,46,99,5,2,1,,,1,87,87,87,2,2,2,1,,,1,2,2,,,102046099
2,27,46,119,4,2,1,,,1,87,2,1,4,2,2,1,,,1,3,2,,,102046119
2,25,47,5,5,2,1,,,1,24,6,6,6,2,2,1,,,2,,,,,102047005
2,25,47,9,5,2,1,,,1,24,6,6,6,2,2,1,,,2,,,,,102047009
2,25,47,16,3,2,1,,,1,18,6,6,6,2,2,1,,,2,,,,,102047016
2,25,47,16,4,2,1,,,1,87,6,6,6,2,2,1,,,1,12,2,,,102047016
2,25,47,47,5,2,1,,,1,87,6,6,6,2,2,1,,,1,3,2,,,102047047
2,25,47,64,5,2,1,,,1,24,6,6,6,2,2,1,,,2,,,,,102047064
