"id1","id2","id3","id4","crop_no","plotno","s4bi_b63i","s4bi_b63ii","s4bi_b64","s4bi_b65i","s4bi_b65ii","s4bi_b66i","s4bi_b661i","s4bi_b661ii","s4bi_b67i","s4bi_b67ii","s4bi_b68","s4bi_b69i","s4bi_b69ii","s4bi_b70","s4bi_b71i","s4bi_b71ii","s4bi_b72i","s4bi_b72ii","hhno"
1,2,6,42,15,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,4,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,11,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,12,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,2,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,6,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,13,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,5,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,3,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,7,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,14,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,9,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,10,1,,,,,,,,,,,,,,,,,,,101006042
1,2,6,42,1,1,22,7,3,0.5,44,2,,,48,,2,,,2,520,,,,101006042
1,2,6,42,8,1,,,,,,,,,,,,,,,,,,,101006042
1,2,7,10,13,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,9,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,3,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,5,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,14,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,12,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,15,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,1,1,15,7,4,1,47,2,,,,,2,2,,,5,,0,,101007010
1,2,7,10,11,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,4,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,8,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,6,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,7,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,10,2,1,3,6,4,1,47,2,,,,,2,4,,,30,,0,,101007010
1,2,7,10,10,1,,,,,,,,,,,,,,,,,,,101007010
1,2,7,11,15,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,9,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,10,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,1,1,5,6,4,250,,2,,,11,50,2,,,2,75,,,0,101007011
1,2,7,11,7,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,14,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,5,1,,,,,,,,,,,,,,,,,,,101007011
1,2,7,11,2,1,,,,,,,,,,,,,,,,,,,101007011
