"id1","id2","id3","id4","entno","s5f_1i","s5f_1ii","s5f_1iii","s5f_1iv","s5f_2i","s5f_2ii","s5f_2iii","s5f_2iv","s5f_3i","s5f_3ii","s5f_3iii","s5f_3iv","s5f_4i","s5f_4ii","s5f_4iii","s5f_4iv","s5f_5i","s5f_5ii","s5f_5iii","s5f_5iv","s5f_6i","s5f_6ii","s5f_6iii","s5f_6iv","s5f_7i","s5f_7ii","s5f_7iii","s5f_7iv","s5f_8i","s5f_8ii","s5f_8iii","s5f_8iv","s5f_9i","s5f_9ii","s5f_9iii","s5f_9iv","s5f_10i","s5f_10ii","s5f_10iii","s5f_10iv","s5f_11","s5f_11i","s5f_11ii","s5f_11iii","s5f_11iv","hhno"
2,2,33,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033010
2,2,33,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033012
2,2,33,12,1,,,,,150,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033012
2,2,33,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033016
2,2,33,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033016
2,2,33,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033017
2,2,33,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033018
2,2,33,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033021
2,2,33,28,1,,,,,140,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033028
2,2,33,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033043
2,2,33,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102033071
2,2,34,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034007
2,2,34,19,1,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034019
2,2,34,19,2,,,150,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034019
2,2,34,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034056
2,2,34,73,1,,,,,40,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034073
2,2,34,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034076
2,2,34,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034090
2,2,34,117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102034117
