"id1","id2","id3","id4","s10c_0","hhno"
2,23,56,14,1,102056014
2,23,56,16,1,102056016
2,23,56,27,1,102056027
2,23,56,35,1,102056035
2,23,56,40,1,102056040
2,23,56,41,1,102056041
2,23,56,43,1,102056043
2,23,56,49,1,102056049
2,23,56,50,1,102056050
2,23,56,51,1,102056051
2,23,56,54,1,102056054
2,23,56,58,1,102056058
2,23,56,69,1,102056069
2,23,56,72,1,102056072
2,23,56,74,1,102056074
2,23,57,11,1,102057011
2,23,57,12,1,102057012
2,23,57,14,1,102057014
2,23,57,39,1,102057039
2,23,57,43,1,102057043
2,23,57,51,1,102057051
2,23,57,55,1,102057055
2,23,57,72,1,102057072
2,23,57,73,1,102057073
2,23,57,84,1,102057084
2,23,57,90,1,102057090
2,23,57,93,1,102057093
2,23,57,99,1,102057099
2,23,57,134,1,102057134
2,23,57,163,1,102057163
2,25,47,5,1,102047005
2,25,47,8,1,102047008
2,25,47,9,1,102047009
2,25,47,11,1,102047011
2,25,47,16,1,102047016
2,25,47,24,1,102047024
2,25,47,42,1,102047042
2,25,47,43,1,102047043
2,25,47,47,1,102047047
2,25,47,60,1,102047060
2,25,47,64,1,102047064
2,25,47,66,1,102047066
2,25,47,74,1,102047074
2,25,47,76,1,102047076
2,25,47,92,1,102047092
2,27,46,12,1,102046012
2,27,46,29,1,102046029
2,27,46,35,1,102046035
2,27,46,36,1,102046036
2,27,46,37,1,102046037
2,27,46,54,1,102046054
2,27,46,55,1,102046055
2,27,46,74,1,102046074
2,27,46,75,1,102046075
2,27,46,81,1,102046081
2,27,46,90,1,102046090
2,27,46,99,1,102046099
2,27,46,100,1,102046100
2,27,46,115,1,102046115
2,27,46,119,1,102046119
2,28,58,1,1,102058001
2,28,58,2,1,102058002
2,28,58,11,1,102058011
2,28,58,15,1,102058015
2,28,58,37,1,102058037
2,28,58,47,1,102058047
2,28,58,50,1,102058050
2,28,58,56,1,102058056
2,28,58,96,1,102058096
2,28,58,99,1,102058099
2,28,58,115,1,102058115
2,28,58,116,1,102058116
2,28,58,122,1,102058122
2,28,58,123,1,102058123
2,28,58,131,1,102058131
2,29,41,2,1,102041002
2,29,41,5,1,102041005
2,29,41,6,1,102041006
2,29,41,19,1,102041019
2,29,41,21,1,102041021
2,29,41,25,1,102041025
2,29,41,29,1,102041029
2,29,41,32,1,102041032
2,29,41,54,1,102041054
2,29,41,60,1,102041060
2,29,41,61,1,102041061
2,29,41,63,1,102041063
2,29,41,71,1,102041071
2,29,41,77,1,102041077
2,29,41,80,1,102041080
2,29,42,3,1,102042003
2,29,42,9,1,102042009
2,29,42,13,1,102042013
2,29,42,14,1,102042014
2,29,42,20,1,102042020
2,29,42,21,1,102042021
2,29,42,23,1,102042023
2,29,42,25,1,102042025
2,29,42,26,1,102042026
2,29,42,28,1,102042028
2,29,42,31,1,102042031
2,29,42,32,1,102042032
2,29,42,38,1,102042038
2,29,42,50,1,102042050
2,29,42,52,1,102042052
2,29,43,2,1,102043002
2,29,43,6,1,102043006
2,29,43,7,1,102043007
2,29,43,17,1,102043017
2,29,43,28,1,102043028
2,29,43,31,1,102043031
2,29,43,57,1,102043057
2,29,43,66,1,102043066
2,29,43,79,1,102043079
2,29,43,89,1,102043089
2,29,43,92,1,102043092
2,29,43,93,1,102043093
2,29,43,102,1,102043102
2,29,43,113,1,102043113
2,29,43,120,1,102043120
2,29,44,13,1,102044013
2,29,44,19,1,102044019
2,29,44,20,1,102044020
2,29,44,31,1,102044031
2,29,44,39,1,102044039
2,29,44,53,1,102044053
2,29,44,61,1,102044061
2,29,44,74,1,102044074
2,29,44,79,1,102044079
2,29,44,91,1,102044091
2,29,44,92,1,102044092
2,29,44,105,1,102044105
2,29,44,109,1,102044109
2,29,44,113,1,102044113
2,29,44,128,1,102044128
2,29,60,1,1,102060001
2,29,60,10,1,102060010
2,29,60,11,1,102060011
2,29,60,14,1,102060014
2,29,60,18,1,102060018
2,29,60,20,1,102060020
2,29,60,26,1,102060026
2,29,60,40,1,102060040
2,29,60,43,1,102060043
2,29,60,53,1,102060053
2,29,60,78,1,102060078
2,29,60,80,1,102060080
2,29,60,82,1,102060082
2,29,60,90,1,102060090
2,29,60,91,1,102060091
2,31,38,8,1,102038008
2,31,38,10,1,102038010
2,31,38,14,1,102038014
2,31,38,18,1,102038018
2,31,38,19,1,102038019
2,31,38,24,1,102038024
2,31,38,29,1,102038029
2,31,38,30,1,102038030
2,31,38,31,1,102038031
2,31,38,33,1,102038033
2,31,38,38,1,102038038
2,31,38,42,1,102038042
2,31,38,59,1,102038059
2,31,38,64,1,102038064
2,31,38,65,1,102038065
2,31,39,4,1,102039004
2,31,39,5,1,102039005
2,31,39,22,1,102039022
2,31,39,23,1,102039023
2,31,39,41,1,102039041
2,31,39,43,1,102039043
2,31,39,49,1,102039049
2,31,39,50,1,102039050
2,31,39,53,1,102039053
2,31,39,54,1,102039054
2,31,39,57,1,102039057
2,31,39,61,1,102039061
2,31,39,62,1,102039062
2,31,39,63,1,102039063
2,31,39,66,1,102039066
2,31,40,1,1,102040001
2,31,40,2,1,102040002
2,31,40,6,1,102040006
2,31,40,8,1,102040008
2,31,40,14,1,102040014
2,31,40,17,1,102040017
2,31,40,20,1,102040020
2,31,40,24,1,102040024
2,31,40,33,1,102040033
2,31,40,35,1,102040035
2,31,40,36,1,102040036
2,31,40,38,1,102040038
2,31,40,39,1,102040039
2,31,40,44,1,102040044
2,31,40,47,1,102040047
3,1,61,20,1,103061020
3,1,61,29,1,103061029
3,1,61,45,1,103061045
3,1,61,47,1,103061047
3,1,61,50,1,103061050
3,1,61,55,1,103061055
3,1,61,58,1,103061058
3,1,61,64,1,103061064
3,1,61,69,1,103061069
3,1,61,85,1,103061085
3,1,61,120,1,103061120
3,1,61,122,1,103061122
3,1,61,131,1,103061131
3,1,61,134,1,103061134
3,1,61,145,1,103061145
3,1,62,13,1,103062013
3,1,62,18,1,103062018
3,1,62,22,1,103062022
3,1,62,24,1,103062024
3,1,62,51,1,103062051
