date,btc
6/1/18,17172.30078
7/1/18,16228.16016
8/1/18,14976.16992
9/1/18,14468.5
10/1/18,14919.49023
11/1/18,13308.05957
12/1/18,13841.19043
13/1/18,14243.12012
14/1/18,13638.62988
15/1/18,13631.98047
16/1/18,11282.49023
17/1/18,11162.7002
18/1/18,11175.51953
19/1/18,11521.75977
20/1/18,12783.94043
21/1/18,11549.92969
22/1/18,10814.51953
23/1/18,10858.23047
24/1/18,11429.01953
25/1/18,11175.87012
26/1/18,11104.2002
27/1/18,11459.70996
28/1/18,11767.74023
29/1/18,11233.9502
30/1/18,10107.25977
31/1/18,10226.86035
1/2/18,9114.719727
2/2/18,8870.820313
3/2/18,9251.269531
4/2/18,8218.049805
5/2/18,6937.080078
6/2/18,7701.25
7/2/18,7592.720215
8/2/18,8260.69043
9/2/18,8696.830078
10/2/18,8569.290039
11/2/18,8084.609863
12/2/18,8911.269531
13/2/18,8544.69043
14/2/18,9485.639648
15/2/18,10033.75
16/2/18,10188.73047
17/2/18,11097.20996
18/2/18,10417.23047
19/2/18,11182.28027
20/2/18,11256.42969
21/2/18,10481.66016
22/2/18,9847.959961
23/2/18,10175.50977
24/2/18,9705.730469
25/2/18,9610.110352
26/2/18,10326.5
27/2/18,10594.75977
28/2/18,10334.44043
1/3/18,10929.37012
2/3/18,11043.12012
3/3/18,11465.36035
4/3/18,11504.41992
5/3/18,11440.73047
6/3/18,10735.4502
7/3/18,9928.55957
8/3/18,9316.719727
9/3/18,9252.759766
10/3/18,8797.269531
11/3/18,9544.839844
12/3/18,9142.150391
13/3/18,9160.120117
14/3/18,8217.700195
15/3/18,8268.410156
16/3/18,8283.230469
17/3/18,7883.450195
18/3/18,8215.400391
19/3/18,8623.139648
20/3/18,8920.709961
21/3/18,8911.349609
22/3/18,8724.980469
23/3/18,8934.799805
24/3/18,8548.05957
25/3/18,8472.839844
25/3/18,8152.200195
26/3/18,7808.47998
27/3/18,7959.779785
28/3/18,7106.620117
29/3/18,6853.759766
30/3/18,6943.77002
31/3/18,6835.839844
1/4/18,7074.600098
2/4/18,7434.299805
3/4/18,6815.5
4/4/18,6790.450195
5/4/18,6634.859863
6/4/18,6917.200195
7/4/18,7049.919922
8/4/18,6789.529785
9/4/18,6871.069824
10/4/18,6977.129883
11/4/18,7927.72998
12/4/18,7899.109863
13/4/18,8022.509766
14/4/18,8376.730469
15/4/18,8079.77002
16/4/18,7921.629883
17/4/18,8189.959961
18/4/18,8301.820313
19/4/18,8877.080078
20/4/18,8935.719727
21/4/18,8823.360352
22/4/18,8968.25
23/4/18,9655.769531
24/4/18,8873.620117
25/4/18,9282.120117
26/4/18,8938.469727
27/4/18,9351.469727
28/4/18,9407.040039
29/4/18,9248.450195
30/4/18,9077.280273
1/5/18,9232.19043
2/5/18,9745.040039
3/5/18,9699.610352
4/5/18,9845.900391
5/5/18,9644.919922
6/5/18,9377.80957
7/5/18,9196.129883
8/5/18,9321.160156
9/5/18,9032.219727
10/5/18,8421
11/5/18,8486.669922
12/5/18,8709.459961
13/5/18,8672.900391
14/5/18,8480.160156
15/5/18,8344.780273
16/5/18,8071.040039
17/5/18,8247.910156
18/5/18,8249.240234
19/5/18,8533
20/5/18,8419.650391
21/5/18,7992.75
22/5/18,7505.77002
23/5/18,7584.740234
24/5/18,7475.359863
25/5/18,7355.060059
26/5/18,7362.22998
27/5/18,7118.879883
28/5/18,7474.75
29/5/18,7393.02002
30/5/18,7502.149902
31/5/18,7530.549805
1/6/18,7643.259766
2/6/18,7719.75
3/6/18,7503.200195
4/6/18,7629.399902
5/6/18,7661.790039
6/6/18,7700.109863
7/6/18,7627.52002
8/6/18,7513.689941
9/6/18,6773.720215
10/6/18,6887.370117
11/6/18,6556.939941
12/6/18,6310.430176
13/6/18,6643.259766
14/6/18,6396.709961
15/6/18,6503.100098
16/6/18,6457.779785
17/6/18,6714.819824
18/6/18,6741.279785
19/6/18,6761.27002
20/6/18,6720.640137
21/6/18,6051.470215
22/6/18,6166.540039
23/6/18,6157.779785
24/6/18,6260.350098
25/6/18,6088.390137
26/6/18,6141.569824
27/6/18,5871.279785
28/6/18,6203.799805
29/6/18,6385.379883
30/6/18,6339.040039
1/7/18,6615.660156
2/7/18,6509.580078
3/7/18,6590.060059
4/7/18,6534.810059
5/7/18,6602.02002
6/7/18,6758.080078
7/7/18,6707.379883
8/7/18,6668.839844
9/7/18,6306.850098
10/7/18,6394.359863
11/7/18,6253.600098
12/7/18,6229.830078
13/7/18,6268.75
14/7/18,6364.259766
15/7/18,6740.549805
16/7/18,7326.700195
17/7/18,7383.390137
18/7/18,7477.5
19/7/18,7333.930176
20/7/18,7405.399902
21/7/18,7398.640137
22/7/18,7718
23/7/18,8395.820313
24/7/18,8170.22998
25/7/18,7937.25
26/7/18,8182.890137
27/7/18,8230.870117
28/7/18,8216.780273
29/7/18,8176.060059
30/7/18,7735.299805
31/7/18,7610.899902
1/8/18,7542.339844
2/8/18,7417.600098
3/8/18,7017.890137
4/8/18,7042.390137
5/8/18,6945.779785
6/8/18,6723.209961
7/8/18,6285.02002
8/8/18,6543.240234
9/8/18,6153.410156
10/8/18,6242.540039
11/8/18,6322.919922
12/8/18,6263.200195
13/8/18,6199.600098
14/8/18,6274.220215
15/8/18,6323.810059
16/8/18,6591.160156
17/8/18,6405.709961
18/8/18,6502.180176
19/8/18,6269.899902
20/8/18,6491.109863
21/8/18,6366.129883
22/8/18,6538.950195
23/8/18,6708.959961
24/8/18,6749.560059
25/8/18,6720.600098
26/8/18,6915.72998
27/8/18,7091.379883
28/8/18,7052
29/8/18,6998.759766
30/8/18,7026.959961
31/8/18,7203.459961
1/9/18,7301.259766
2/9/18,7270.049805
3/9/18,7369.859863
4/9/18,6705.029785
5/9/18,6515.419922
6/9/18,6411.779785
7/9/18,6200.160156
8/9/18,6249.069824
9/9/18,6324.430176
10/9/18,6295.540039
11/9/18,6337.109863
12/9/18,6492
13/9/18,6486.009766
14/9/18,6522.080078
15/9/18,6502.439941
16/9/18,6261.47998
17/9/18,6346.439941
18/9/18,6398.799805
19/9/18,6505.899902
20/9/18,6762.060059
21/9/18,6716.600098
22/9/18,6702.700195
23/9/18,6583.529785
24/9/18,6437.740234
25/9/18,6462.600098
26/9/18,6686.129883
27/9/18,6635.379883
28/9/18,6603.75
29/9/18,6623.709961
30/9/18,6594.97998
1/10/18,6525.470215
2/10/18,6492.259766
3/10/18,6579.790039
4/10/18,6632.870117
5/10/18,6589.939941
6/10/18,6601.149902
7/10/18,6650.069824
8/10/18,6631.790039
9/10/18,6581.069824
10/10/18,6209.470215
11/10/18,6250.850098
12/10/18,6267.27002
13/10/18,6277.72998
14/10/18,6612.359863
15/10/18,6583.049805
16/10/18,6574.52002
17/10/18,6488.720215
18/10/18,6469.279785
19/10/18,6490.560059
20/10/18,6509.870117
21/10/18,6483.22998
22/10/18,6470.220215
23/10/18,6476.25
24/10/18,6462.77002
25/10/18,6457.209961
26/10/18,6470.169922
27/10/18,6470.740234
29/10/18,6313.910156
30/10/18,6309.109863
31/10/18,6342.609863
1/11/18,6381.299805
2/11/18,6394.660156
3/11/18,6376.319824
4/11/18,6467.049805
5/11/18,6433.740234
6/11/18,6479.720215
7/11/18,6529.680176
8/11/18,6446.060059
9/11/18,6377.990234
10/11/18,6396.370117
11/11/18,6408.180176
12/11/18,6375.080078
13/11/18,6339.169922
14/11/18,5741.470215
15/11/18,5647.5
16/11/18,5586.27002
17/11/18,5568.939941
18/11/18,5615.259766
19/11/18,4809.620117
20/11/18,4441.810059
21/11/18,4593.040039
22/11/18,4320.680176
23/11/18,4343.419922
24/11/18,3854.110107
25/11/18,4004.149902
26/11/18,3784.590088
27/11/18,3822.98999
28/11/18,4263.549805
29/11/18,4286.689941
30/11/18,4009.669922
1/12/18,4197.459961
2/12/18,4143.859863
3/12/18,3871.409912
4/12/18,3948.439941
5/12/18,3737.530029
6/12/18,3485.179932
7/12/18,3420.570068
8/12/18,3461.070068
9/12/18,3592.840088
10/12/18,3467.159912
11/12/18,3401.02002
12/12/18,3485.590088
13/12/18,3305.110107
14/12/18,3235.47998
15/12/18,3232.51001
16/12/18,3255.370117
17/12/18,3548.189941
18/12/18,3715.850098
19/12/18,3736.540039
20/12/18,4137.660156
21/12/18,3898.810059
22/12/18,4045.23999
23/12/18,4007.629883
24/12/18,4081.949951
25/12/18,3834.72998
26/12/18,3848.780029
27/12/18,3646.090088
28/12/18,3947.860107
29/12/18,3797.060059
30/12/18,3896.209961
31/12/18,3747.389893
1/1/19,3880.149902
2/1/19,3961.01001
3/1/19,3835.860107
4/1/19,3874.060059
5/1/19,3855.389893
6/1/19,4102.850098
7/1/19,4050.399902
8/1/19,4040.75
9/1/19,4048.340088
10/1/19,3668.149902
11/1/19,3669.199951
12/1/19,3664.379883
13/1/19,3551.23999
14/1/19,3703.899902
15/1/19,3621.23999
16/1/19,3643.98999
17/1/19,3685.300049
18/1/19,3648.050049
19/1/19,3729.780029
20/1/19,3567.72998
21/1/19,3571.919922
22/1/19,3602.040039
23/1/19,3572.050049
24/1/19,3598.52002
25/1/19,3582.889893
26/1/19,3596.5
27/1/19,3565.080078
28/1/19,3453.419922
29/1/19,3418.25
30/1/19,3467.209961
31/1/19,3434.129883
1/2/19,3461.629883
2/2/19,3508.679932
3/2/19,3449.620117
4/2/19,3431.23999
5/2/19,3447.659912
6/2/19,3394.889893
7/2/19,3375.330078
8/2/19,3660.030029
9/2/19,3652.26001
10/2/19,3685.139893
11/2/19,3611.340088
12/2/19,3617.409912
13/2/19,3605.870117
14/2/19,3588.719971
15/2/19,3593.48999
16/2/19,3617.23999
17/2/19,3670.919922
18/2/19,3912.570068
19/2/19,3924.23999
20/2/19,3974.050049
21/2/19,3937.040039
22/2/19,3983.530029
23/2/19,4149.089844
24/2/19,3771.620117
25/2/19,3845.51001
26/2/19,3817.879883
27/2/19,3830.719971
28/2/19,3823.370117
1/3/19,3831.47998
2/3/19,3842.939941
3/3/19,3812.310059
4/3/19,3731.280029
5/3/19,3874.179932
6/3/19,3874.97998
7/3/19,3882.610107
8/3/19,3868.02002
9/3/19,3947.73999
10/3/19,3929.840088
11/3/19,3874.889893
12/3/19,3888.570068
13/3/19,3878.439941
14/3/19,3881.439941
15/3/19,3927.080078
16/3/19,4027.01001
17/3/19,3998
18/3/19,3988.850098
19/3/19,4024.139893
20/3/19,4056.75
21/3/19,3996.929932
22/3/19,4000.840088
23/3/19,4007.209961
24/3/19,3994.110107
25/3/19,3924.550049
26/3/19,3942.219971
27/3/19,4045.97998
28/3/19,4036.449951
29/3/19,4111.379883
30/3/19,4118.129883
31/3/19,4112.689941
31/3/19,4151.319824
1/4/19,4906.930176
2/4/19,4976.589844
3/4/19,4913.359863
4/4/19,5047.22998
5/4/19,5057.25
6/4/19,5201.160156
7/4/19,5294.089844
8/4/19,5201.299805
9/4/19,5318.600098
10/4/19,5048.560059
11/4/19,5081.5
12/4/19,5080.660156
13/4/19,5165.589844
14/4/19,5037.27002
15/4/19,5212.810059
16/4/19,5236.259766
17/4/19,5289.75
18/4/19,5295.529785
19/4/19,5326.180176
20/4/19,5305.740234
21/4/19,5394.669922
22/4/19,5539.100098
23/4/19,5454.580078
24/4/19,5162.669922
25/4/19,5234.089844
26/4/19,5229.47998
27/4/19,5272.450195
28/4/19,5237.959961
29/4/19,5350.640137
30/4/19,5389.540039
1/5/19,5500.720215
2/5/19,5753.379883
3/5/19,5840.080078
4/5/19,5794.140137
5/5/19,5748.169922
6/5/19,5819.569824
7/5/19,5998.709961
8/5/19,6180.850098
