"id1","id2","id3","id4","s10iii_0","s10iii_16","s10iii_17","s10iii_18","s10iii_19","s10iii_20","s10iii_21","s10iii_21i","hhno"
1,13,10,164,1,1,5,2,,"3",2,,101010164
1,13,10,175,1,1,1,2,,"3",2,,101010175
1,13,10,175,2,2,,2,,"3",2,,101010175
1,13,10,176,1,2,,2,,"4",2,,101010176
1,13,10,193,1,2,,2,,"3",2,,101010193
1,13,11,6,2,1,3,1,2,"1,6,7,8",2,,101011006
1,13,11,6,1,1,3,1,2,"1,7,8",2,,101011006
1,13,11,19,1,1,4,1,5,"1,3,6,7",2,,101011019
1,13,11,19,2,1,4,1,4,"3,6,7",2,,101011019
1,13,11,28,2,1,3,1,2,"1,3,6,7",2,,101011028
1,13,11,28,1,1,3,1,2,"1,3,6,7,8",2,,101011028
1,13,11,31,1,1,2,1,4,"1,3,6,7",2,,101011031
1,13,11,31,2,1,2,1,3,"3,6,7",2,,101011031
1,13,11,44,2,1,2,1,4,"1,3,6,7",2,,101011044
1,13,11,44,1,1,2,1,4,"1,3,7",2,,101011044
1,13,11,44,5,1,2,1,5,"1",2,,101011044
1,13,11,48,1,1,4,1,3,"1,3,6,7,8",2,,101011048
1,13,11,48,2,1,4,1,2,"1,6,7,8",2,,101011048
1,13,11,50,5,1,4,1,3,"3,6",2,,101011050
1,13,11,50,3,1,4,1,4,"3,6,7",2,,101011050
1,13,11,50,1,1,4,1,4,"1,3,8",2,,101011050
