"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
2,2,32,8,1,1,,,,1,,,,14,,,,15,,,,30,,,,15,,,,102032008
2,2,32,10,1,2,,,,1,,,,13,,,,11,,,,28,,,,11,,,,102032010
2,2,32,11,1,1,,,,1,,,,0,,,,0,,,,26,,,,7,,,,102032011
2,2,32,14,1,1,,,,1,,,,12,,,,10,,,,26,,,,10,,,,102032014
2,2,32,15,1,1,,,,1,,,,14,,,,10,,,,30,,,,10,,,,102032015
2,2,32,18,1,1,,,,1,,,,7,,,,7,,,,26,,,,7,,,,102032018
2,2,32,64,2,2,-8,-8,-8,1,10,10,10,12,12,12,12,10,10,10,10,26,26,26,26,10,10,10,10,102032064
2,2,32,64,1,1,-8,-8,-8,1,7,7,10,10,10,10,10,8,8,8,8,26,26,26,26,8,8,8,8,102032064
2,2,32,84,1,1,-8,,,1,7,,,6,6,,,10,10,,,26,26,,,10,10,,,102032084
2,2,33,10,1,,,,,1,,,,12,,,,6,,,,24,,,,6,,,,102033010
2,2,33,12,1,1,,,,1,10,10,10,,,,,,,,,12,12,12,12,4,4,4,4,102033012
2,2,33,12,2,2,,,,1,,,,6,,,,7,,,,12,,,,7,,,,102033012
2,2,33,16,1,2,,,,1,,,,10,,,,6,,,,30,,,,6,,,,102033016
2,2,33,16,2,3,,,,1,,,,8,,,,6,,,,30,,,,6,,,,102033016
2,2,33,17,1,,,,,1,,,,12,,,,11,,,,24,,,,3.66666674613953,,,,102033017
2,2,33,18,1,2,3,4,5,1,3,3,3,14,12,12,12,13,6,6,6,30,24,24,24,4.33333349227905,6,6,6,102033018
2,2,33,21,1,,,,,1,,,,14,,,,3,,,,30,,,,3,,,,102033021
2,2,33,28,1,1,,,,1,,,,12,,,,6,,,,24,,,,6,,,,102033028
2,2,33,43,1,1,,,,1,,,,12,,,,12,,,,24,,,,4,,,,102033043
2,2,33,71,1,1,,,,1,,,,14,,,,14,,,,30,,,,4.66666650772095,,,,102033071
2,2,34,7,1,2,,,,1,,,,14,,,,11,,,,25,,,,11,,,,102034007
2,2,34,19,2,2,,,,2,,,,14,,,,7,,,,20,,,,7,,,,102034019
2,2,34,19,1,,,,,1,10,10,10,,,,,,,,,4,4,4,4,6,6,6,6,102034019
2,2,34,56,1,1,2,3,4,1,3,3,3,14,14,14,14,12,12,12,12,30,30,30,30,12,12,12,12,102034056
