"id1","id2","id3","id4","hhmid","s1gi_1","s1gi_2i","s1gi_2ii","s1gi_3","s1gi_4","s1gi_5","s1gi_6","s1gi_7","s1gi_8i","s1gi_8ii","s1gi_9i","s1gi_9ii","s1gi_10ii","s1gi_10iii","s1gi_11ii","s1gi_11iii","s1gi_12ii","s1gi_12iii","hhno"
3,1,75,45,2,1,3,,2,6,5,35,,,,,,,,,1,,3,103075045
3,1,75,45,3,,,,,,,,,,,,,,,,,,,103075045
3,1,75,45,1,1,20,,2,7,1,102,,,,,,,,,1,,3,103075045
3,1,76,33,1,1,4,,1,9,3,26,,,,,,,1,,1,-8,,103076033
3,1,76,42,1,1,12,,1,2,4,79,,,,,,,,,,,3,103076042
3,1,76,42,3,1,12,,1,5,4,79,,,,,,,,,,,3,103076042
3,1,76,42,2,1,12,,1,6,4,79,,,,,,,,,,,3,103076042
3,1,76,70,2,2,20,,1,7,6,148,,,,,,,,,,,3,103076070
3,1,76,70,1,1,19,,1,5,5,35,,,,,,,,,,-8,,103076070
3,1,76,90,1,1,30,,1,7,9,13,,,,,,,,,,,3,103076090
3,1,78,10,1,1,4,,1,2,11,82,,,,,,-8,,-8,,,3,103078010
3,1,78,10,2,2,4,,1,6,3,26,,,,,,,1,,1,,3,103078010
3,1,78,60,1,1,7,,1,9,11,41,,,,5,0,-8,,,,,,103078060
3,1,78,61,1,1,9,,1,3,5,35,,6,0,5,0,,,-8,,,,103078061
3,1,79,4,2,1,5,,1,7,11,116,,,,,,,,,1,4,,103079004
3,1,79,4,1,1,14,,2,2,11,116,,,,40,,-8,,-8,,-8,,103079004
3,1,79,10,2,,,,,,,,,,,,,,,,,,,103079010
3,1,79,10,1,1,30,,1,5,11,,,,,,,,1,,1,10,,103079010
3,1,79,16,4,4,12,,1,3,5,35,,,,,,,,,,,3,103079016
3,1,79,16,1,1,12,,1,3,2,127,,4,0,6,0,,1,,1,,3,103079016
3,1,79,16,3,3,12,,1,3,5,35,,,,,,,,,,,3,103079016
3,1,79,16,2,2,12,,1,3,5,35,,,,,,,,,,,3,103079016
3,1,79,27,1,1,23,,1,7,1,102,,,,,,,,,,-8,,103079027
3,1,79,45,1,1,12,,1,12,5,35,,,,,,,,,,,,103079045
3,1,80,1,1,1,15,,1,9,11,38,,,,,,,,,1,4,,103080001
3,1,80,4,3,3,10,,1,5,10,48,,,,,,,,,,,,103080004
3,1,80,4,2,2,10,,1,6,10,48,,,,1,50,,,,,,,103080004
3,1,80,4,1,1,14,,1,5,11,39,,2,,1,,,,,,,,103080004
3,1,80,4,4,,,,,,,,,,,,,,,,,,,103080004
3,1,80,4,5,,,,,,,,,,,,,,,,,,,103080004
3,1,80,6,1,1,6,,1,6,5,35,,15,,,,,,,,-8,,103080006
3,1,80,6,2,2,6,,1,6,5,35,,5,,3,,,,-8,,-8,,103080006
3,1,80,9,4,,,,,,,,,,,,,,,,,,,103080009
3,1,80,9,3,,,,,,,,,,,,,,,,,,,103080009
3,1,80,9,5,,,,,,,,,,,,,,,,,,,103080009
3,1,80,9,1,1,15,,1,7,11,35,,,,15,,-8,,-8,,,3,103080009
3,1,80,9,2,,,,,,,,,,,,,,,,,,,103080009
3,1,80,15,1,1,45,,1,6,10,48,,,,,,,,,,,3,103080015
3,1,80,15,2,,,,,,,,,,,,,,,,,,,103080015
3,1,80,15,3,,,,,,,,,,,,,,,,,,,103080015
3,1,80,18,1,1,8,,1,5,11,,,,,,,,,,,,,103080018
3,1,80,21,2,,,,,,,,,,,,,,,,,,,103080021
3,1,80,21,3,,,,,,,,,,,,,,,,,,,103080021
3,1,80,21,1,,,,,,,,,,,,,,,,,,,103080021
3,1,80,21,4,4,1,6,1,7,4,79,,,,,,,,,,1,,103080021
3,1,80,26,2,1,5,,1,6,3,26,,,,,,,,,,,3,103080026
3,1,80,26,3,,,,,,,,,,,,,,,,,,,103080026
3,1,80,26,1,1,15,,1,7,3,26,,,,,,,,,,-8,,103080026
3,1,80,30,1,1,31,,1,1,11,64,,,,,15,-8,,-8,,,3,103080030
3,1,80,30,3,,,,,,,,,,,,,,,,,,,103080030
3,1,80,30,4,,,,,,,,,,,,,,,,,,,103080030
3,1,80,30,2,1,31,,1,7,11,64,,,,,,-8,,-8,,,3,103080030
3,1,80,30,5,,,,,,,,,,,,,,,,,,,103080030
3,1,80,41,2,1,26,,1,6,10,48,,,,,,,,,,,3,103080041
3,1,80,41,6,,,,,,,,,,,,,,,,,,,103080041
3,1,80,41,3,1,22,,1,5,10,48,,,,,,,,,,,3,103080041
3,1,80,41,1,1,26,,1,2,10,48,,,,,,,,,,,,103080041
3,1,80,41,4,1,20,,1,5,10,48,,,,,,,,,,,3,103080041
3,1,80,41,5,,,,,,,,,,,,,,,,,,,103080041
3,1,80,54,1,1,15,,1,2,11,66,,,,3,,-8,,-8,,-8,,103080054
3,1,80,54,2,,,,,,,,,,,,,,,,,,,103080054
3,1,80,54,3,,,,,,,,,,,,,,,,,,,103080054
3,1,80,54,4,,,,,,,,,,,,,,,,,,,103080054
3,1,80,56,1,1,16,,1,2,1,102,,,20,5,,-8,,,1,-8,,103080056
3,1,80,56,3,,,,,,,,,,,,,,,,,,,103080056
3,1,80,56,2,1,8,,1,5,1,102,,,,,,,,,,,3,103080056
3,1,80,64,1,1,6,,1,2,1,102,,,,15,0,,,,,,,103080064
