"id1","id2","id3","id4","s10ci","s10c_1","s10c_2","s10c_3i","s10c_3ii","s10c_4","s10c_5","s10c_6","s10c_7","s10c_8","s10c_9","s10c_10","hhno"
1,1,8,14,35,2,,,,,,,,,,"CR",101008014
1,1,8,14,44,1,10,6,,1,1,2,2,1,1,"CR",101008014
1,1,8,14,60,2,,,,,,,,,,"CR",101008014
1,1,8,14,4,1,8,77,,2,1,2,1,1,,"CR",101008014
1,1,8,14,,,,,,,,,,,,,101008014
1,1,8,14,19,1,8,20,,2,2,2,1,1,1,"CR",101008014
1,1,8,14,53,2,,,,,,,,,,"CR",101008014
1,1,8,14,74,2,,,,,,,,,,"CR",101008014
1,1,8,14,47,2,,,,,,,,,,"CR",101008014
1,1,8,14,67,2,,,,,,,,,,"CR",101008014
1,1,8,14,29,2,,,,,,,,,,"CR",101008014
1,1,8,14,22,1,8,2,,1,1,2,1,1,1,"CR",101008014
1,1,8,14,78,2,,,,,,,,,,"CR",101008014
1,1,8,14,21,1,8,77,,1,1,2,2,1,1,"CR",101008014
1,1,8,17,19,1,10,4,,1,2,2,1,1,1,"3",101008017
1,1,8,17,35,2,,,,,,,,,,"CR",101008017
1,1,8,17,47,2,,,,,,,,,,"CR",101008017
1,1,8,17,21,2,,,,,,,,,,"CR",101008017
1,1,8,17,53,1,10,3,,1,1,2,2,1,1,"CR",101008017
1,1,8,17,29,2,,,,,,,,,,"CR",101008017
1,1,8,17,67,2,,,,,,,,,,"1",101008017
1,1,8,17,14,1,10,5,,1,1,2,1,1,1,"CR",101008017
1,1,8,17,74,2,,,,,,,,,,"CR",101008017
1,1,8,17,78,1,10,6,,1,1,2,2,1,1,"CR",101008017
1,1,8,17,4,2,,,,,,,,,,"CR",101008017
1,1,8,17,60,2,,,,,,,,,,"2",101008017
1,1,8,17,44,2,,,,,,,,,,"CR",101008017
1,1,8,17,22,1,10,10,,1,1,2,1,1,1,"CR",101008017
1,1,8,19,53,1,7,77,,2,1,1,1,1,1,"CR",101008019
1,1,8,19,29,2,,,,,,,,,,"CR",101008019
1,1,8,19,78,1,8,20,,2,1,1,2,1,1,"CR",101008019
1,1,8,19,35,1,8,15,,2,1,1,2,1,1,"CR",101008019
1,1,8,19,74,1,8,20,,2,1,1,1,1,1,"CR",101008019
1,1,8,19,47,1,10,10,,2,1,1,1,1,1,"CR",101008019
1,1,8,19,60,2,,,,,,,,,,"CR",101008019
1,1,8,19,17,2,,,,,,,,,,"CR",101008019
1,1,8,19,67,2,,,,,,,,,,"CR",101008019
1,1,8,19,14,1,5,20,,2,1,1,2,1,1,"CR",101008019
1,1,8,19,44,1,8,15,,2,1,1,1,1,1,"CR",101008019
1,1,8,19,22,1,8,77,,2,1,1,1,1,1,"CR",101008019
1,1,8,19,4,2,,,,,,,,,,"CR",101008019
1,1,8,19,21,1,8,77,,2,1,1,2,1,1,"CR",101008019
1,1,8,21,35,1,10,77,,2,2,2,2,1,2,"CR",101008021
1,1,8,21,53,1,10,77,,2,2,2,2,2,2,"DK",101008021
1,1,8,21,14,1,,77,,2,2,2,2,1,2,"CR",101008021
1,1,8,21,44,2,,,,,,,,,,"CR",101008021
1,1,8,21,74,2,,,,,,,,,,"CR",101008021
1,1,8,21,60,2,,,,,,,,,,"CR",101008021
1,1,8,21,67,2,,,,,,,,,,"CR",101008021
1,1,8,21,47,2,,,,,,,,,,"CR",101008021
1,1,8,21,29,2,,,,,,,,,,"CR",101008021
1,1,8,21,19,1,11,77,,2,2,2,2,1,2,"1",101008021
1,1,8,21,17,,,,,,,,,,,"CR",101008021
1,1,8,21,78,2,,,,,,,,,,"CR",101008021
1,1,8,21,22,1,7,77,,1,1,2,2,1,1,"DK",101008021
1,1,8,21,4,2,,,,,,,,,,"CR",101008021
1,1,8,22,53,2,,,,,,,,,,"CR",101008022
1,1,8,22,78,2,,,,,,,,,,"CR",101008022
1,1,8,22,17,1,10,2,,2,2,2,2,1,1,"CR",101008022
1,1,8,22,14,1,4,2,,1,2,2,2,1,1,"CR",101008022
1,1,8,22,4,2,,,,,,,,,,"DK",101008022
1,1,8,22,47,2,,,,,,,,,,"CR",101008022
1,1,8,22,60,2,,,,,,,,,,"CR",101008022
1,1,8,22,44,2,,,,,,,,,,"CR",101008022
1,1,8,22,67,2,,,,,,,,,,"CR",101008022
1,1,8,22,29,2,,,,,,,,,,"DK",101008022
1,1,8,22,74,2,,,,,,,,,,"CR",101008022
1,1,8,22,35,1,10,2,,1,1,2,2,1,1,"CR",101008022
1,1,8,22,19,1,11,2,,2,2,2,2,1,1,"CR",101008022
1,1,8,22,21,1,3,2,,2,2,2,2,1,1,"CR",101008022
1,1,8,29,21,1,10,5,,2,2,2,2,1,2,"5",101008029
1,1,8,29,53,1,11,3,,2,2,2,2,1,2,"12",101008029
1,1,8,29,17,1,11,1,,2,2,2,2,1,2,"14",101008029
1,1,8,29,60,1,10,1,,2,2,2,2,1,2,"7",101008029
1,1,8,29,67,1,10,4,,2,2,2,2,1,2,"10",101008029
1,1,8,29,19,1,11,5,,2,2,2,2,1,1,"2",101008029
1,1,8,29,22,1,8,7,,2,2,2,2,1,1,"6",101008029
1,1,8,29,74,1,11,2,,2,2,2,2,1,2,"11",101008029
1,1,8,29,44,1,10,5,,2,2,2,2,1,1,"1",101008029
1,1,8,29,78,1,11,7,,2,2,2,2,1,2,"8",101008029
1,1,8,29,35,1,10,10,,2,2,2,2,1,2,"13",101008029
1,1,8,29,4,1,8,2,,2,2,2,2,1,2,"4",101008029
1,1,8,29,14,1,11,4,,2,2,2,2,1,1,"9",101008029
1,1,8,29,47,1,11,4,,2,2,2,2,1,2,"3",101008029
1,1,8,35,74,2,,,,,,,,,,"4",101008035
1,1,8,35,4,2,,,,,,,,,,"CR",101008035
1,1,8,35,47,1,10,10,,2,2,2,2,2,1,"2",101008035
1,1,8,35,78,2,,,,,,,,,,"CR",101008035
1,1,8,35,14,1,5,77,,1,1,2,2,1,1,"3",101008035
1,1,8,35,21,1,8,77,,2,2,2,2,1,1,"CR",101008035
1,1,8,35,53,1,5,28,,1,1,2,2,2,1,"CR",101008035
1,1,8,35,17,1,10,8,,2,2,2,2,2,1,"CR",101008035
1,1,8,35,19,1,5,77,,2,2,2,2,2,1,"CR",101008035
1,1,8,35,44,1,8,77,,2,2,2,2,1,1,"5",101008035
1,1,8,35,22,1,10,2,,1,1,2,2,1,1,"CR",101008035
1,1,8,35,29,1,8,77,,2,2,2,2,1,1,"CR",101008035
1,1,8,35,67,1,8,17,,1,1,2,2,1,1,"1",101008035
1,1,8,35,60,2,,,,,,,,,,"6",101008035
1,1,8,44,29,2,,,,,,,,,,"CR",101008044
1,1,8,44,4,1,10,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,14,1,10,77,,1,2,2,2,1,2,"CR",101008044
1,1,8,44,47,1,10,10,,1,1,2,1,1,1,"CR",101008044
1,1,8,44,19,1,8,77,,2,1,2,2,1,2,"CR",101008044
1,1,8,44,53,1,8,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,60,2,,,,,,,,,,"CR",101008044
1,1,8,44,35,1,10,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,17,1,10,5,,2,1,2,2,1,2,"CR",101008044
1,1,8,44,67,1,3,5,,1,1,2,1,1,1,"CR",101008044
1,1,8,44,22,1,8,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,21,1,8,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,74,1,10,77,,2,2,2,2,1,2,"CR",101008044
1,1,8,44,78,1,2,77,,2,1,2,2,1,2,"CR",101008044
1,1,8,47,60,2,,,,,,,,,,"CR",101008047
1,1,8,47,19,1,10,10,,1,2,1,1,1,1,"CR",101008047
1,1,8,47,23,1,11,10,,2,2,2,2,1,,"CR",101008047
1,1,8,47,74,1,10,10,,1,1,1,1,1,1,"CR",101008047
1,1,8,47,53,2,,,,,,,,,,"CR",101008047
1,1,8,47,17,2,,,,,,,,,,"CR",101008047
1,1,8,47,29,2,,,,,,,,,,"CR",101008047
1,1,8,47,67,1,10,10,,2,2,2,2,1,,"CR",101008047
1,1,8,47,14,1,10,10,,2,2,2,2,1,,"CR",101008047
1,1,8,47,35,2,,,,,,,,,,"CR",101008047
1,1,8,47,4,1,10,10,,2,2,1,1,1,,"CR",101008047
