"id1","id2","id3","id4","s4av2_plotno","s4v_a120i","s4v_a120ii","s4v_a120iii","s4v_a120iv","s4v_a120v","s4v_a120vi","s4v_a120vii","s4v_a120viii","s4v_a120ix","s4v_a120x","s4v_a120b","s4v_a121i","s4v_a121ii","s4v_a122i","s4v_a122ii","s4v_a123i","s4v_a123ii","s4v_a124i","s4v_a124ii","s4v_a125","s4v_a126i","s4v_a126ii","s4v_a127","s4v_a128","s4v_a129i","s4v_a129ii","s4v_a130i","s4v_a130ii","s4v_a131i","s4v_a131ii","s4v_a132i","s4v_a132ii","s4v_a133","s4v_a134i","s4v_a133ii","s4v_a135","s4v_a136","s4v_a137i","s4v_a137ii","s4v_a138i","s4v_a138ii","s4v_a139i","s4v_a139ii","s4v_a140i","s4v_a140ii","s4v_a141","s4v_a142i","s4v_a142ii","s4v_a143","s4v_a144","s4v_a145i","s4v_a145ii","s4v_a146i","s4v_a146ii","s4v_a147i","s4v_a147ii","s4v_a148i","s4v_a148ii","s4v_a149","s4v_a150i","s4v_a150ii","s4v_a151","s4v_a152","s4v_a153i","s4v_a153ii","s4v_a154i","s4v_a154ii","s4v_a155i","s4v_a155ii","s4v_a156i","s4v_a156ii","s4v_a157","s4v_a158i","s4v_a158ii","s4v_a159","s4v_a160","hhno"
1,2,25,43,2,22,,,,,,,,,,1,22,7,3,8,2,,,,1,5,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,43,1,6,29,5,,,,,,,,3,6,7,2,18,276,,276,,1,138,,1,15,29,7,3,8,15,,,,1,50,,2,,5,6,1,4,5,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,44,1,6,29,8,5,,,,,,,1,6,7,4,18,552,,552,,1,700,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025044
1,2,25,50,1,6,29,5,,,,,,,,3,6,7,3,18,414,,414,,2,,,2,,29,7,4,8,20,,20,,2,,,2,,5,6,1,18,12,,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025050
1,2,25,51,1,6,29,5,28,,,,,,,3,6,7,10,18,1380,,1380,,2,,,2,,29,7,20,8,100,,100,,1,160,,2,,5,6,5,18,75,,75,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025051
1,2,25,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,54,1,6,29,2,,,,,,,,3,6,7,6,18,828,,828,,1,270,,1,15,29,7,4,8,20,,10,,1,5,,1,5,2,7,5,8,10,,10,,1,5,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,97,1,6,29,5,25,7,40,1,,,,5,6,7,15,18,1800,,1800,,1,920,,1,8,29,7,15,8,30,,20,,2,,,1,2,5,6,1,18,12,,,,1,5,,1,30,25,7,1,18,22,,22,,1,4,,1,5,7,7,20,12,5,,,,1,6,,2,,101025097
1,2,25,100,2,6,29,5,,,,,,,,3,6,7,2,18,276,,276,,1,138,,1,15,29,7,3,8,12,,,,2,,,2,,5,6,3,18,30,,30,,1,10,,1,350,,,,,,,,,,,,,,,,,,,,,,,,,,,101025100
1,2,25,100,1,6,29,5,40,,,,,,,4,6,7,3,18,414,,414,,1,276,,1,20,29,7,2,8,6,,,,1,10,,2,,5,6,2,18,20,,20,,1,10,,1,300,40,6,12,26,40,,36,,1,70,,1,10,,,,,,,,,,,,,,101025100
