"id1","id2","id3","id4","s2a_i","hhno"
2,19,49,14,15,102049014
2,19,49,19,11,102049019
2,19,49,27,14,102049027
2,19,49,29,11,102049029
2,19,49,30,10,102049030
2,19,49,39,13,102049039
2,19,49,58,7,102049058
2,19,49,65,18,102049065
2,19,49,66,18,102049066
2,19,49,75,12,102049075
2,19,49,80,11,102049080
2,19,49,110,18,102049110
2,19,49,118,18,102049118
2,19,49,129,14,102049129
2,20,48,15,13,102048015
2,20,48,22,17,102048022
2,20,48,28,15,102048028
2,20,48,34,18,102048034
2,20,48,37,9,102048037
2,20,48,39,18,102048039
2,20,48,51,9,102048051
2,20,48,52,18,102048052
2,20,48,54,9,102048054
2,20,48,55,11,102048055
2,20,48,58,18,102048058
2,20,48,67,6,102048067
2,20,48,68,17,102048068
2,20,48,78,16,102048078
2,20,48,98,18,102048098
2,22,53,2,8,102053002
2,22,53,10,6,102053010
2,22,53,27,11,102053027
2,22,53,29,12,102053029
2,22,53,40,12,102053040
2,22,53,47,18,102053047
2,22,53,58,18,102053058
2,22,53,59,6,102053059
2,22,53,74,18,102053074
2,22,53,76,13,102053076
2,22,53,79,17,102053079
2,22,53,85,17,102053085
2,22,53,87,15,102053087
2,22,53,88,17,102053088
2,22,53,89,16,102053089
2,23,56,14,15,102056014
2,23,56,16,17,102056016
2,23,56,27,18,102056027
2,23,56,35,18,102056035
2,23,56,40,18,102056040
2,23,56,41,13,102056041
2,23,56,43,16,102056043
2,23,56,49,10,102056049
2,23,56,50,18,102056050
2,23,56,51,18,102056051
2,23,56,54,18,102056054
2,23,56,58,13,102056058
2,23,56,69,18,102056069
2,23,56,72,18,102056072
2,23,56,74,9,102056074
2,23,57,11,8,102057011
2,23,57,12,16,102057012
2,23,57,14,11,102057014
2,23,57,39,17,102057039
2,23,57,43,12,102057043
2,23,57,51,11,102057051
2,23,57,55,6,102057055
2,23,57,72,11,102057072
2,23,57,73,9,102057073
2,23,57,84,13,102057084
2,23,57,90,12,102057090
2,23,57,93,16,102057093
2,23,57,99,10,102057099
2,23,57,134,18,102057134
2,23,57,163,7,102057163
2,23,58,1,17,102058001
2,23,58,2,9,102058002
2,23,58,11,16,102058011
2,23,58,15,7,102058015
2,23,58,37,14,102058037
2,23,58,47,12,102058047
2,23,58,50,8,102058050
2,23,58,56,10,102058056
2,23,58,96,9,102058096
2,23,58,99,12,102058099
2,23,58,115,7,102058115
2,23,58,116,17,102058116
2,23,58,122,7,102058122
2,23,58,123,11,102058123
2,23,58,131,6,102058131
2,25,47,5,13,102047005
2,25,47,8,11,102047008
2,25,47,9,18,102047009
2,25,47,11,7,102047011
2,25,47,16,13,102047016
2,25,47,24,7,102047024
2,25,47,42,12,102047042
2,25,47,43,11,102047043
2,25,47,47,14,102047047
2,25,47,60,11,102047060
2,25,47,64,17,102047064
2,25,47,66,10,102047066
2,25,47,74,17,102047074
2,25,47,76,12,102047076
2,25,47,92,11,102047092
2,27,46,12,11,102046012
2,27,46,29,12,102046029
2,27,46,35,8,102046035
2,27,46,36,10,102046036
2,27,46,37,15,102046037
2,27,46,54,13,102046054
2,27,46,55,18,102046055
2,27,46,74,11,102046074
2,27,46,75,9,102046075
2,27,46,81,7,102046081
2,27,46,90,7,102046090
2,27,46,99,18,102046099
2,27,46,100,13,102046100
2,27,46,115,14,102046115
2,27,46,119,18,102046119
2,29,41,2,6,102041002
2,29,41,5,16,102041005
2,29,41,6,15,102041006
2,29,41,19,11,102041019
2,29,41,21,18,102041021
2,29,41,25,13,102041025
2,29,41,29,13,102041029
2,29,41,32,9,102041032
2,29,41,54,5,102041054
2,29,41,60,11,102041060
2,29,41,61,19,102041061
2,29,41,63,13,102041063
2,29,41,71,11,102041071
2,29,41,77,9,102041077
2,29,41,80,12,102041080
2,29,42,3,11,102042003
2,29,42,9,8,102042009
2,29,42,13,4,102042013
2,29,42,14,13,102042014
2,29,42,20,6,102042020
2,29,42,21,5,102042021
2,29,42,23,9,102042023
2,29,42,25,11,102042025
2,29,42,26,11,102042026
2,29,42,28,6,102042028
2,29,42,31,7,102042031
2,29,42,32,5,102042032
2,29,42,38,15,102042038
2,29,42,50,15,102042050
2,29,42,52,6,102042052
2,29,43,2,9,102043002
2,29,43,6,11,102043006
2,29,43,7,13,102043007
2,29,43,17,9,102043017
2,29,43,28,18,102043028
2,29,43,31,11,102043031
2,29,43,57,14,102043057
2,29,43,66,13,102043066
2,29,43,79,18,102043079
