"id1","id2","id3","id4","entno","s5c_29i","s5c_29ii","s5c_29iii","s5c_29iva","s5c_29ivb","s5c_29va","s5c_29vb","s5c_30i","s5c_30iia","s5c_30iib","s5c_31i","s5c_31ii","s5c_31iii","s5c_31iva","s5c_31ivb","s5c_31va","s5c_31vb","s5c_32i","s5c_32iia","s5c_32iib","s5c_33i","s5c_33ii","s5c_33iii","s5c_33iva","s5c_33ivb","s5c_33va","s5c_33vb","s5c_34i","s5c_34iia","s5c_34iib","s5c_35i","s5c_35iia","s5c_35iib","s5c_36i","s5c_36ii","s5c_36iii","s5c_36iva","s5c_36ivb","s5c_36va","s5c_36vb","s5c_37i","s5c_37iia","s5c_37iib","s5c_38i","s5c_38iia","s5c_38iib","s5c_39i","s5c_39ii","s5c_39iii","s5c_39iva","s5c_39ivb","s5c_39va","s5c_39vb","s5c_40i","s5c_40ii","s5c_40iii","s5c_40iva","s5c_40ivb","s5c_40va","s5c_40vb","s5c_41i","s5c_41ii","s5c_41iii","s5c_41iva","s5c_41ivb","s5c_41va","s5c_41vb","s5c_42i","s5c_42ii","s5c_42iii","s5c_42iva","s5c_42ivb","s5c_42va","s5c_42vb","hhno"
1,8,13,8,1,1035,1,4,,50,6,,8,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,,,,50,6,,,,,,,,,101013008
1,8,13,36,1,799,,10,,60,,,300,160,,,,,,,,,,,,797,1,4,,80,,,,,,,,,321,,37,,20,,,,,,,60,,,,,,,,,,,,,,,,799,,10,,60,,,,,,,,,,101013036
1,8,13,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013087
1,8,14,11,1,19,,41,30,,,,138,4140,,,,,,,,,,,,1314,2,3,20,,40,,,,,138,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014011
1,8,14,15,1,801,2,13,5,,10,,,,,,,,,,,,,,,1329,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,36,1,479,1,37,10,,50,,15,150,,479,,,,,,,,,,1328,10,37,4,,40,,,,,,,,,,,,,,,,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,46,1,489,0.25,6,5,,1,25,,,,,,,,,,,,,,1287,,19,15,,,,,,,,,,,,,,,,,,,,,,,1238,2,18,35,,70,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,57,1,489,1,29,5,,,,30,140,,,,29,3,,,,,,,228,18,19,12,,216,,3,30,,,,,1238,,29,10,,,,5,30,,,,,1238,,29,10,,,,1238,,,,,,,489,,,,,,,1238,,,,,,,101014057
1,8,14,69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014069
