"id1","id2","id3","id4","s4av1_plotno","s4v_a78i","s4v_a78ii","s4v_a78iii","s4v_a78iv","s4v_a78v","s4v_a78vi","s4v_a78vii","s4v_a78viii","s4v_a78ix","s4v_a78x","s4v_a79","s4v_a80i","s4v_a80ii","s4v_a81i","s4v_a81ii","s4v_a82i","s4v_a82ii","s4v_a83i","s4v_a83ii","s4v_a84","s4v_a85i","s4v_a85ii","s4v_a86","s4v_a87","s4v_a88i","s4v_a88ii","s4v_a89i","s4v_a89ii","s4v_a90i","s4v_a90ii","s4v_a91i","s4v_a91ii","s4v_a92","s4v_a93i","s4v_a93ii","s4v_a94","s4v_a95","s4v_a96i","s4v_a96ii","s4v_a97i","s4v_a97ii","s4v_a98i","s4v_a98ii","s4v_a99i","s4v_a99ii","s4v_a100","s4v_a101i","s4v_a102ii","s4v_a102","s4v_a103","s4v_a104i","s4v_a104ii","s4v_a105i","s4v_a105ii","s4v_a106i","s4v_a106ii","s4v_a107i","s4v_a107ii","s4v_a108","s4v_a109i","s4v_a109ii","s4v_a110","s4v_a111","s4v_a112i","s4v_a112ii","s4v_a113i","s4v_a113ii","s4v_a114i","s4v_a114ii","s4v_a115i","s4v_a115ii","s4v_a116","s4v_a117i","s4v_a117ii","s4v_a118","s4v_a119","hhno"
1,2,6,23,1,6,22,,,,,,,,,2,6,7,5,18,690,,690,,1,276,,1,10,22,7,320,8,256,,256,,1,180,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006023
1,2,6,29,1,22,6,,,,,,,,,1,22,7,200,8,160,,160,,1,200,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006029
1,2,6,36,1,7,5,,,,,,,,,1,7,7,9000,34,300,,300,,1,200,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006036
1,2,6,42,1,22,,,,,,,,,,1,22,7,600,8,360,,360,,1,400,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006042
1,2,7,10,1,12,5,29,,,,,,,,3,12,7,3,29,10,,5,,2,,,2,,5,6,10,4,40,,30,,2,,,2,,29,7,3,8,8,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007010
1,2,7,11,1,5,,,,,,,,,,1,5,6,15,4,150,,75,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007011
1,2,7,14,1,5,29,,,,,,,,,2,5,6,25,4,75,,30,,2,,,1,30,29,7,40,25,160,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007014
1,2,7,14,2,5,29,,,,,,,,,2,5,6,30,4,85,,50,,2,,,1,15,29,7,35,25,120,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007014
1,2,7,19,1,7,,,,,,,,,,1,7,7,1000,34,60,,60,,1,100,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007019
1,2,7,25,1,5,,,,,,,,,,1,5,6,4,4,30,,,,1,20,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007025
1,2,7,26,1,29,12,,,,,,,,,2,29,7,30,25,150,,150,,2,,,2,,12,7,1.5,6,4,,,,1,2,50,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007026
1,2,7,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007028
1,2,7,33,3,29,5,,,,,,,,,2,29,7,3,30,20,,,,2,,,1,5,5,6,2,4,6,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,33,2,29,5,,,,,,,,,2,29,7,2,4,20,,,,2,,,1,50,5,6,4,4,10,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,33,1,5,37,,,,,,,,,2,5,6,15,4,150,,60,,1,10,,1,30,37,7,3,6,25,,25,,1,4,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,36,1,5,,,,,,,,,,1,5,6,20,4,200,,100,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007036
1,2,7,68,1,5,28,,,,,,,,,1,5,6,4,18,30,,28,,1,5,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007068
1,2,7,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007082
1,2,7,82,2,5,29,,,,,,,,,2,5,6,6,4,80,,20,,1,20,,1,40,29,7,6,8,20,,20,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007082
1,2,25,2,1,6,,,,,,,,,,1,6,7,38,18,5244,,5244,,1,1380,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,2,2,29,5,40,,,,,,,,3,29,7,15,8,120,,100,,1,150,,1,15,5,6,5,4,30,,30,,,,,,,40,6,300,26,150,,130,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,3,1,6,29,40,,,,,,,,3,6,7,7,18,966,,966,,1,250,,1,20,29,7,9,8,40,80,40,80,1,100,,2,,40,6,15,26,60,,60,,1,40,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,101025003
1,2,25,6,2,6,5,29,,,,,,,,3,6,7,3,18,414,,414,,1,75,,1,10,5,6,10,4,200,,200,,1,40,,1,15,29,7,50,8,300,,30,,1,50,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,6,1,6,,,,,,,,,,1,6,7,25,18,3450,,3450,,1,450,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,12,1,6,22,29,5,40,1,7,,,,7,6,7,70,18,9660,,9660,,1,1380,,1,10,22,7,10,4,200,,200,,1,20,,2,,29,7,20,8,100,,100,,1,25,,2,,5,6,4,4,40,,40,,2,,,1,15,40,6,10,4,120,,120,,1,150,,2,,101025012
1,2,25,13,2,6,29,8,5,,,,,,,4,6,7,3,10,414,,414,,2,,,1,50,29,7,40,8,160,,110,,2,,,2,,8,6,1,4,2,50,,,2,,,1,5,5,6,1,18,8,,,,1,3,,1,20,,,,,,,,,,,,,,101025013
1,2,25,13,1,6,29,,,,,,,,,2,6,7,0.5,18,75,,75,,2,,,1,40,29,7,30,8,120,,100,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,33,1,6,6,29,8,40,,,,,,5,6,7,20,18,2760,,2760,,1,1200,,1,15,5,6,1,18,10,,10,,1,150,,1,15,29,7,10,8,50,,50,,2,,,2,,8,6,3,4,20,,18,,2,,,1,10,40,6,50,26,240,,240,,2,,,1,2,101025033
1,2,25,33,2,6,5,29,8,,,,,,,4,6,7,20,18,2760,,2760,,1,2150,,1,10,5,6,1,19,6,,6,,1,100,,1,20,29,7,12,8,60,,60,,2,,,1,15,8,6,2,4,15,,15,,2,,,1,25,,,,,,,,,,,,,,101025033
1,2,25,37,2,6,29,5,8,27,34,,,,,4,29,7,7,8,25,,25,,1,7,50,1,45,5,6,3,18,30,,30,,1,55,,1,35,8,6,1,18,12,,,,2,,,2,,27,7,1,19,15,,,,1,4,50,1,45,,,,,,,,,,,,,,101025037
1,2,25,37,1,6,29,,,,,,,,,2,6,7,18,18,2484,,2484,,1,150,,1,25,29,7,12,8,65,,60,,1,15,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025037
1,2,25,43,2,22,,,,,,,,,,1,22,7,10,,40,,70,,1,10,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,43,1,6,29,5,40,8,,,,,,5,6,7,6,18,828,,828,,1,40,,,10,29,7,10,8,50,,50,,1,4,,2,,5,6,3,4,15,,,,1,10,,1,25,40,6,2,4,8,,,,2,,,1,15,8,6,4,4,12,,,,1,8,,1,10,101025043
1,2,25,44,1,6,29,5,8,,,,,,,2,6,7,10,18,1380,,1380,,1,670,,1,10,29,7,2,8,8,,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025044
1,2,25,50,1,6,29,5,,,,,,,,3,6,7,9,18,1242,,1242,,1,276,,1,30,29,7,4,8,28,,12,,1,25,,2,,5,6,2,18,24,,24,,1,8,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,101025050
1,2,25,51,1,6,29,5,28,,,,,,,4,6,7,29,18,5520,,5520,,1,450,,1,25,29,7,35,4,200,,120,,1,70,,2,,5,6,36,18,750,,500,,1,80,,2,,28,7,4,12,7,,,,1,3,,2,,,,,,,,,,,,,,,101025051
1,2,25,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,54,1,6,29,2,,,,,,,,3,6,7,27,18,3726,,3776,,1,276,,1,15,29,7,6,8,30,,,,1,20,,1,10,2,7,50,8,20,,,,1,10,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,97,1,6,29,5,40,7,25,1,,,,7,6,7,37,18,5106,,5106,,1,414,,1,6,29,7,12,8,60,,40,,1,130,,2,,5,6,3,18,36,,15,,1,17,,2,,40,6,200,6,50,,,,1,20,,1,5,7,7,200,12,20,,,,1,110,,1,4,101025097
1,2,25,100,1,6,29,5,40,,,,,,,4,6,7,15,18,2070,,2070,,1,138,,1,30,29,7,6,8,30,,30,,1,20,,2,,5,6,5,18,60,,40,,1,120,,1,15,40,6,20,26,40,,20,,1,10,,1,10,,,,,,,,,,,,,,101025100
1,2,25,100,2,6,29,5,40,,,,,,,4,6,7,8,18,1104,,1104,,1,138,,1,20,29,7,9,8,90,,80,,1,30,,2,,5,6,12,18,100,,50,,1,40,,1,5,40,6,10,26,20,,10,,1,20,,1,5,,,,,,,,,,,,,,101025100
1,2,25,101,1,6,29,5,8,,,,,,,4,6,7,5,18,690,,690,,1,138,,1,25,29,7,24,8,120,,100,,1,74,,2,,5,6,2,4,12,,6,,1,4,,1,15,8,6,2,4,9,,6,,1,3,,1,20,,,,,,,,,,,,,,101025101
1,2,26,4,1,6,,,,,,,,,,1,6,7,10,18,1500,,1380,,2,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026004
1,2,26,6,1,6,5,29,,,,,,,,3,6,7,2,18,276,,276,,2,,,2,,5,6,4,4,20,,0,,1,15,,1,30,29,7,3,25,9,,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026006
1,2,26,8,1,5,29,8,,,,,,,,3,5,6,50,4,50,,10,,2,,,1,20,29,7,20,25,10,,0,,2,,,2,,8,6,0.5,4,4,,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026008
1,2,26,8,2,6,,,,,,,,,,1,6,7,11,18,1518,,1578,,2,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026008
1,2,26,10,2,5,,,,,,,,,,1,5,6,25,4,270,,150,,1,60,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026010
1,2,26,10,1,6,,,,,,,,,,1,6,7,6,18,828,,828,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026010
