Date,AORD
1996-03-04,2267.600098
1996-03-11,2234.800049
1996-03-18,2245
1996-03-25,2225.600098
1996-04-01,2222.5
1996-04-08,2247.199951
1996-04-15,2265.800049
1996-04-22,2326
1996-04-29,2299
1996-05-06,2257.399902
1996-05-13,2251.600098
1996-05-20,2254.199951
1996-05-27,2266.100098
1996-06-03,2220.100098
1996-06-10,2216.199951
1996-06-17,2255.600098
1996-06-24,2242.100098
1996-07-01,2230.800049
1996-07-08,2159.5
1996-07-15,2157.600098
1996-07-22,2143
1996-07-29,2208.600098
1996-08-05,2221.699951
1996-08-12,2233.300049
1996-08-19,2292.899902
1996-08-26,2268.699951
1996-09-02,2237
1996-09-09,2252.300049
1996-09-16,2240.800049
1996-09-23,2283
1996-09-30,2315.5
1996-10-07,2336.800049
1996-10-14,2355
1996-10-21,2335.199951
1996-10-28,2339.399902
1996-11-04,2362.100098
1996-11-11,2387.300049
1996-11-18,2383.399902
1996-11-25,2388.600098
1996-12-02,2313.899902
1996-12-09,2316.5
1996-12-16,2373.800049
1996-12-23,2395.600098
1996-12-30,2399.5
1997-01-06,2418.600098
1997-01-13,2435.5
1997-01-20,2423
1997-01-27,2423.699951
1997-02-03,2446.699951
1997-02-10,2482.600098
1997-02-17,2475.300049
1997-02-24,2449.899902
1997-03-03,2438.5
1997-03-10,2423.199951
1997-03-17,2386.399902
1997-03-24,2422.300049
1997-03-31,2369.5
1997-04-07,2380.5
1997-04-14,2442.399902
1997-04-21,2474.699951
1997-04-28,2491.600098
1997-05-05,2526
1997-05-12,2538.100098
1997-05-19,2563.899902
1997-05-26,2610.5
1997-06-02,2600.899902
1997-06-09,2655.300049
1997-06-16,2712.600098
1997-06-23,2702.399902
1997-06-30,2733.399902
1997-07-07,2699.100098
1997-07-14,2684.199951
1997-07-21,2691.199951
1997-07-28,2727.5
1997-08-04,2711.399902
1997-08-11,2666.199951
1997-08-18,2620.300049
1997-08-25,2593
1997-09-01,2626
1997-09-08,2640
1997-09-15,2730.399902
1997-09-22,2775.600098
1997-09-29,2763.100098
1997-10-06,2694.5
1997-10-13,2645.899902
1997-10-20,2561.300049
1997-10-27,2464.800049
1997-11-03,2513.399902
1997-11-10,2479.100098
1997-11-17,2482.699951
1997-11-24,2465.100098
1997-12-01,2557.199951
1997-12-08,2494
1997-12-15,2528.100098
1997-12-22,2554.699951
1997-12-29,2609.100098
1998-01-05,2603.100098
1998-01-12,2614
1998-01-19,2623.300049
1998-01-26,2656.699951
1998-02-02,2656.100098
1998-02-09,2653
1998-02-16,2645.100098
1998-02-23,2697.399902
1998-03-02,2667.600098
1998-03-09,2731.600098
1998-03-16,2775.199951
1998-03-23,2762.699951
1998-03-30,2770.800049
1998-04-06,2805.800049
1998-04-13,2867.5
1998-04-20,2854.899902
1998-04-27,2804.199951
1998-05-04,2780.5
1998-05-11,2765.800049
1998-05-18,2725.899902
1998-05-25,2715.699951
1998-06-01,2642.800049
1998-06-08,2571.699951
1998-06-15,2588.800049
1998-06-22,2609.899902
1998-06-29,2743.100098
1998-07-06,2747.899902
1998-07-13,2814.699951
1998-07-20,2745.5
1998-07-27,2704.600098
1998-08-03,2599
1998-08-10,2569
1998-08-17,2635
1998-08-24,2516.899902
1998-08-31,2504
1998-09-07,2468.300049
1998-09-14,2539.899902
1998-09-21,2563.399902
1998-09-28,2532.300049
1998-10-05,2491.300049
1998-10-12,2511.399902
1998-10-19,2543.899902
1998-10-26,2647.300049
1998-11-02,2697.300049
1998-11-09,2681.300049
1998-11-16,2703.600098
1998-11-23,2771.300049
1998-11-30,2730.699951
1998-12-07,2730
1998-12-14,2749.300049
1998-12-21,2764
1998-12-28,2813.399902
1999-01-04,2856.300049
1999-01-11,2809.300049
1999-01-18,2848.399902
1999-01-25,2893.800049
1999-02-01,2911.899902
1999-02-08,2889.5
1999-02-15,2924.300049
1999-02-22,2879.899902
1999-03-01,2902.5
1999-03-08,2961.300049
1999-03-15,2984.5
1999-03-22,2996.600098
1999-03-29,2973.399902
1999-04-05,3060
1999-04-12,3099.800049
1999-04-19,3121.699951
1999-04-26,3101.100098
1999-05-03,2987.699951
1999-05-10,3055
1999-05-17,2950.699951
1999-05-24,2888.600098
1999-05-31,2929.300049
1999-06-07,2950.199951
1999-06-14,2985
1999-06-21,2960
1999-06-28,3028.899902
1999-07-05,3041
1999-07-12,3054.399902
1999-07-19,3070.199951
1999-07-26,3019.899902
1999-08-02,3007
1999-08-09,2958.800049
1999-08-16,3025.399902
1999-08-23,3020.199951
1999-08-30,2962.399902
1999-09-06,3003
1999-09-13,2914.699951
1999-09-20,2893.399902
1999-09-27,2912.899902
1999-10-04,2897.100098
1999-10-11,2862.300049
1999-10-18,2837.300049
1999-10-25,2885.100098
1999-11-01,2919.800049
1999-11-08,3010.199951
1999-11-15,3076.699951
1999-11-22,3060
1999-11-29,3086.800049
1999-12-06,3120.300049
1999-12-13,3138.100098
1999-12-20,3135.300049
1999-12-27,3152.5
2000-01-03,3044.5
2000-01-10,3131.600098
2000-01-17,3103.399902
2000-01-24,3092.100098
2000-01-31,3115.100098
2000-02-07,3167.100098
2000-02-14,3120.100098
2000-02-21,3123.699951
2000-02-28,3225.800049
2000-03-06,3199.5
2000-03-13,3203.399902
2000-03-20,3247.399902
2000-03-27,3133.300049
2000-04-03,3168.199951
2000-04-10,3096
2000-04-17,3041.5
2000-04-24,3085.100098
2000-05-01,3075.600098
2000-05-08,3004
2000-05-15,3005.399902
2000-05-22,2964.300049
2000-05-29,3096.300049
2000-06-05,3101.899902
2000-06-12,3096.899902
2000-06-19,3127.300049
2000-06-26,3257.600098
2000-07-03,3261
2000-07-10,3263.600098
2000-07-17,3290.300049
2000-07-24,3219.100098
2000-07-31,3238.5
2000-08-07,3270.100098
2000-08-14,3303.5
2000-08-21,3326.300049
2000-08-28,3293.399902
2000-09-04,3278.899902
2000-09-11,3280.5
2000-09-18,3143.5
2000-09-25,3246.100098
2000-10-02,3244.800049
2000-10-09,3157.600098
2000-10-16,3187.800049
2000-10-23,3195.699951
2000-10-30,3266.5
2000-11-06,3250.800049
2000-11-13,3275.600098
2000-11-20,3230.699951
2000-11-27,3229.399902
2000-12-04,3232.5
2000-12-11,3178.100098
2000-12-18,3142.899902
2000-12-25,3154.699951
2001-01-01,3240.699951
2001-01-08,3188.600098
2001-01-15,3254.5
2001-01-22,3268.199951
2001-01-29,3304.699951
2001-02-05,3261.300049
2001-02-12,3267.100098
2001-02-19,3241.399902
2001-02-26,3280.199951
2001-03-05,3276.899902
2001-03-12,3197.100098
2001-03-19,3094.300049
2001-03-26,3096.899902
2001-04-02,3175.5
2001-04-09,3216.100098
2001-04-16,3243.699951
2001-04-23,3237.300049
2001-04-30,3279.899902
2001-05-07,3326.300049
2001-05-14,3339.899902
2001-05-21,3361.699951
2001-05-28,3327.300049
2001-06-04,3365.399902
2001-06-11,3351.199951
2001-06-18,3364.699951
2001-06-25,3425.199951
2001-07-02,3302.199951
2001-07-09,3342.100098
2001-07-16,3328.100098
2001-07-23,3240.5
2001-07-30,3348.399902
2001-08-06,3343.899902
2001-08-13,3275.399902
2001-08-20,3288.199951
2001-08-27,3217.800049
2001-09-03,3178.699951
2001-09-10,3040.800049
2001-09-17,2884.5
2001-09-24,2988
2001-10-01,3114.199951
2001-10-08,3159
2001-10-15,3111.399902
2001-10-22,3209.800049
2001-10-29,3176.899902
2001-11-05,3221.399902
2001-11-12,3257.5
2001-11-19,3270.600098
2001-11-26,3276.899902
2001-12-03,3312.699951
2001-12-10,3237.699951
2001-12-17,3314.100098
2001-12-24,3363.800049
2001-12-31,3374.300049
2002-01-07,3360.100098
2002-01-14,3331.199951
2002-01-21,3382.699951
2002-01-28,3386
2002-02-04,3393.899902
2002-02-11,3420.399902
2002-02-18,3366.699951
2002-02-25,3362.100098
2002-03-04,3428.100098
2002-03-11,3356.699951
2002-03-18,3381.600098
2002-03-25,3363.300049
2002-04-01,3340.199951
2002-04-08,3307.699951
2002-04-15,3355
2002-04-22,3329.199951
2002-04-29,3314.5
2002-05-06,3279.100098
2002-05-13,3361.800049
2002-05-20,3338.300049
2002-05-27,3325.100098
2002-06-03,3295.699951
2002-06-10,3246.399902
2002-06-17,3204.5
2002-06-24,3163.199951
2002-07-01,3164.300049
2002-07-08,3146
2002-07-15,3058
2002-07-22,2941.100098
2002-07-29,3002.800049
2002-08-05,3052.800049
2002-08-12,3084.199951
2002-08-19,3133.399902
2002-08-26,3073.699951
2002-09-02,3042.100098
2002-09-09,3080
2002-09-16,3027.199951
2002-09-23,2965.600098
2002-09-30,2944.399902
2002-10-07,2883
2002-10-14,2967.399902
2002-10-21,2967.399902
2002-10-28,2966.699951
2002-11-04,2972.600098
2002-11-11,2964.699951
2002-11-18,2999.399902
2002-11-25,3025.199951
