"id1","id3","id4","id2","s12a_1","s12a_2i","s12a_2ii","s12a_2iii","s12a_3","s12a_4i","s12a_4ii","s12a_4iii","s12a_5","s12a_6","s12a_7i","s12a_7ii","s12a_7iii","s12a_8i","s12a_8ii","s12a_8iii","s12a_9i","s12a_9ii","s12a_10ai","s12a_10aii","s12a_10bi","s12a_10bii","s12a_11","s12a_11ii","s12a_11iii","s12a_12i","s12a_12ii","s12a_13i","s12a_13ii","s12a_14","s12a_15","s12a_15i","s12a_16","s12a_17","s12a_18i","s12a_18ii","s12a_18iii","s12a_19i","s12a_19ii","s12a_20","s12a_21i","s12a_21ii","s12a_22","s12a_23i","s12a_23ii","s12a_23iii","s12a_24","s12a_25","s12a_26i","s12a_26ii","s12a_26iii","s12a_27","s12a_28","s12a_29i","s12a_29ii","s12a_29iii","s12a_30","s12a_31","s12a_32","s12a_33i","s12a_33ii","s12a_33iii","s12a_33iv","s12a_33v","s12a_33vi","s12a_35","s12a_36","hhno"
5,160,8,8,1,25,,3,2,,,,3,,,,,,,,2,2,,,,,,2,,1,3,8,3,2,,,4,1,1,50,3,,,2,,,1,5,0,3,3,2,,,,3,5,,10,1,6,4,3,1,1,1,1,1,1,1,23.04,105160008
7,249,3,130,2,,,,,,,,,,,,,,,,7,7,100,2,100,2,6,,,1,1,7,3,2,,,4,2,,,,1,50,2,,,1,6,50,,3,2,,,,,3,,,,6,4,3,2,1,2,2,2,2,1,12.07,107249003
1,10,113,13,1,15,,3,2,,,,3,,,,,30,0,6,5,5,15,2,15,2,10,,,1,1,2,3,2,"10",,4,2,,,,5,60,2,,,1,20,0,3,4,2,,,,,5,,5,1,6,4,3,2,1,1,2,2,2,1,9.87,101010113
8,279,111,142,2,,,,,,,,,,,,,,,,7,7,400,2,400,2,30,,,1,1,7,3,2,"7",,2,2,,,,,,2,,,4,0,0,,2,3,,,,3,7,,,,1,1,3,2,2,2,2,2,2,1,36.1,108279111
3,79,33,1,2,,,,,,,,,,,,,,,,5,5,9,2,9,2,5,,,4,2,3,2,2,,,4,2,,,,5,40,2,,,1,8,0,3,3,1,,50,2,,5,2,0,2,6,4,3,2,1,2,2,2,2,2,17.98,103079033
6,212,22,102,1,12,,3,2,,,,3,,,,,,,,2,2,,,,,,2,,1,1,2,3,2,,,6,1,5,,3,,,2,,,1,12,0,3,1,3,,,,,1,,,,6,4,3,1,1,1,1,2,2,1,11.532,106212022
3,67,69,1,1,15,,3,2,,,,3,,,,,,,,8,5,5,2,2,2,,2,,1,1,1,3,2,,,4,2,,,,1,80,2,,,2,0,0,,1,3,,,,,5,,10,1,1,4,3,2,1,2,2,2,2,1,33.33,103067069
6,195,89,92,2,,,,,,,,,,,,,700,,6,9,9,50,2,50,2,,2,,24,1,7,3,2,,,1,2,,,,,,2,,,1,0,0,,3,2,,,,,1,,,,6,4,3,2,1,2,2,2,2,2,30.72,106195089
6,210,120,102,1,,,,2,,,,1,1,,,,0,,0,2,2,0,0,0,0,,2,,1,1,8,3,2,,,6,1,12,,3,0,,2,,,1,20,0,3,4,2,,,,,1,,,,6,4,3,2,1,2,2,2,2,1,17.0344,106210120
3,72,12,1,2,,,,,,,,,,,,,,,,5,5,150,2,155,2,15,,,6,2,4,3,2,,,4,2,,,,1,,2,,,1,15,0,3,3,2,,,,3,5,,60,2,2,4,3,2,1,2,2,2,2,1,15.155,103072012
