"id1","id2","id3","id4","s9c_ii","s9c_c1","s9c_c2","s9c_c3","s9c_c4","s9c_c5","s9c_c6","s9c_c7","s9c_c8","s9c_c9","s9c_c10","s9c_c11","s9c_c12","hhno"
1,10,19,9,3,"E","B","B","B","C","A","E","B","B","A","A","E",101019009
1,10,19,10,2,"E","A","C","E","D","C","E","B","C","B","F","F",101019010
1,10,19,11,3,"C","A","A","D","C","A","E","B","C","B","C","E",101019011
1,10,19,11,4,"B","D","A","E","C","C","E","B","B","A","A","E",101019011
1,10,19,11,5,"B","F","C","D","D","A","E","B","B","B","C","F",101019011
1,10,19,17,4,"C","B","A","D","C","A","E","B","C","B","C","F",101019017
1,10,19,17,5,"A","F","E","D","D","C","E","C","B","E","A","E",101019017
1,10,19,20,3,"C","B","A","D","C","A","E","B","C","B","C","F",101019020
1,10,19,20,4,"C","D","C","B","C","C","E","C","B","A","C","E",101019020
1,10,20,2,2,"E","B","D","C","E","C","B","C","E","E","D","C",101020002
1,10,20,4,5,"C","C","B","B","E","E","E","B","C","C","E","C",101020004
1,10,20,4,4,"A","E","D","C","E","A","C","B","E","E","A","B",101020004
1,10,20,4,3,"E","E","D","D","A","C","A","E","E","A","E","B",101020004
1,10,20,4,6,"B","E","E","C","E","C","E","E","A","E","B","D",101020004
1,10,20,14,2,"E","E","D","C","E","B","C","A","E","E","D","C",101020014
1,10,20,16,3,"E","E","D","C","E","C","E","B","E","E","E","C",101020016
1,10,20,16,4,"E","C","E","E","A","A","C","C","E","C","B","D",101020016
1,10,20,16,6,"B","E","F","C","E","A","D","E","E","A","E","A",101020016
1,10,20,21,3,"E","E","B","E","A","E","E","B","E","A","C","D",101020021
1,10,20,21,2,"A","E","D","C","E","C","A","B","E","C","A","A",101020021
1,10,20,24,2,"A","E","D","C","E","E","C","B","E","B","E","B",101020024
1,10,20,35,3,"E","E","C","C","E","B","A","C","E","B","A","C",101020035
1,10,21,1,2,"C","D","A","D","C","A","E","B","C","B","C","D",101021001
1,10,21,7,3,"C","C","A","D","C","A","E","B","B","F","C","E",101021007
1,10,21,26,3,"C","D","A","D","C","A","E","B","C","B","C","E",101021026
1,10,21,26,4,"B","A","C","D","C","A","E","B","B","B","C","F",101021026
1,10,21,51,3,"E","B","C","E","F","A","E","C","C","B","A","E",101021051
1,10,21,51,2,"E","F","B","B","C","B","E","B","C","A","F","D",101021051
1,10,21,54,5,"E","D","B","B","F","A","E","B","B","B","F","D",101021054
1,10,21,54,6,"C","B","B","B","C","C","E","B","C","C","F","E",101021054
1,10,21,54,3,"E","F","A","D","C","B","E","B","C","B","C","F",101021054
1,10,21,54,4,"E","F","E","D","C","A","E","B","C","B","A","D",101021054
1,10,21,62,3,"B","F","C","D","C","A","E","A","C","B","F","E",101021062
1,10,21,62,4,"A","B","B","D","C","F","B","E","B","F","D","E",101021062
1,10,21,68,3,"C","F","B","F","F","C","E","B","C","A","F","D",101021068
