"id1","id2","id3","id4","hd","hhmid","s7b_1","s7b_2i","s7b_2ii","s7b_3","s7b_4","s7b_5","s7b_6","s7b_7","s7b_8","s7b_9","s7b_10","s7b_11","s7b_12","s7b_13","s7b_14","s7b_15","s7b_16","s7b_17","s7b_18","s7b_19","s7b_20","s7b_21","s7b_22","s7b_23","hhno"
1,2,7,25,"007025",6,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101007025
1,2,7,26,"007026",2,1,50,,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101007026
1,2,7,26,"007026",3,1,40,,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,5,5,5,101007026
1,2,7,33,"007033",2,1,100,,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,3,3,4,5,101007033
1,2,7,36,"007036",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101007036
1,2,7,36,"007036",6,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101007036
1,2,7,68,"007068",2,1,50,,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,5,101007068
1,2,7,82,"007082",2,1,90,,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,3,4,5,1,101007082
1,1,8,4,"008004",1,1,50,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,5,5,5,101008004
1,1,8,14,"008014",2,1,90,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101008014
1,1,8,17,"008017",2,1,10,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101008017
1,1,8,17,"008017",3,2,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101008017
1,1,8,19,"008019",1,2,,,2,2,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,101008019
1,1,8,19,"008019",3,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101008019
1,1,8,19,"008019",4,2,,,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,,101008019
1,1,8,21,"008021",1,1,40,,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,5,5,101008021
1,1,8,22,"008022",2,1,25,,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,5,5,101008022
1,1,8,29,"008029",2,1,90,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,5,5,5,101008029
1,1,8,35,"008035",2,1,60,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101008035
1,1,8,44,"008044",2,1,150,,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,5,5,5,101008044
1,1,8,47,"008047",1,2,,,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,5,5,101008047
1,1,8,47,"008047",2,2,,,1,2,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101008047
1,1,8,53,"008053",1,1,30,,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,,2,1,5,5,5,101008053
1,1,8,53,"008053",2,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101008053
1,1,8,67,"008067",2,1,200,,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,3,5,5,5,101008067
1,1,8,67,"008067",4,2,,,2,2,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101008067
1,1,8,74,"008074",1,2,,,1,2,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101008074
1,1,8,74,"008074",2,2,,,1,2,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,101008074
1,1,8,78,"008078",1,2,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101008078
1,13,9,61,"009061",2,1,30,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,5,5,5,101009061
1,13,9,68,"009068",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101009068
1,13,9,68,"009068",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101009068
1,13,9,68,"009068",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101009068
1,13,9,136,"009136",1,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101009136
1,13,9,180,"009180",2,,100,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101009180
1,13,9,180,"009180",6,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101009180
1,13,9,191,"009191",1,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,,,,,,,,,101009191
1,13,9,191,"009191",2,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101009191
1,13,9,195,"009195",2,1,80,,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101009195
1,13,9,195,"009195",4,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101009195
1,13,9,195,"009195",5,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,5,5,5,101009195
1,13,9,222,"009222",1,1,200,,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,5,5,5,101009222
1,13,9,222,"009222",3,,,,2,2,2,2,2,1,2,2,1,2,2,2,2,,,,,,,,,101009222
1,13,9,227,"009227",2,1,500,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101009227
1,13,9,235,"009235",2,1,250,,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101009235
1,13,9,235,"009235",3,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101009235
1,13,9,258,"009258",2,1,100,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101009258
1,13,9,258,"009258",3,,,,2,2,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,101009258
1,13,9,262,"009262",1,1,40,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101009262
1,13,9,262,"009262",2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,101009262
1,13,10,40,"010040",2,,,,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,4,4,4,101010040
1,13,10,40,"010040",4,,,,1,2,1,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101010040
1,13,10,57,"010057",1,,,,2,2,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101010057
1,13,10,64,"010064",2,1,60,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101010064
1,13,10,88,"010088",2,1,90,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101010088
1,13,10,89,"010089",1,1,70,0,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101010089
1,13,10,95,"010095",2,,,,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101010095
1,13,10,95,"010095",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101010095
1,13,10,113,"010113",1,,,,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,5,5,5,101010113
1,13,10,132,"010132",1,1,35,,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101010132
1,13,10,150,"010150",1,,,,2,2,2,2,2,1,2,1,1,1,2,2,2,,,,,,,,,101010150
1,13,10,150,"010150",2,2,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101010150
1,13,10,163,"010163",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101010163
1,13,10,175,"010175",2,1,15,,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,5,5,5,101010175
1,13,10,176,"010176",1,,,,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,5,5,5,101010176
1,13,11,6,"011006",1,2,,,2,2,2,2,2,1,1,2,1,2,2,2,2,,,,,,,,,101011006
1,13,11,19,"011019",1,2,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101011019
1,13,11,19,"011019",2,2,,,1,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101011019
1,13,11,28,"011028",1,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,101011028
1,13,11,28,"011028",2,,,,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101011028
1,13,11,31,"011031",1,1,150,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101011031
1,13,11,31,"011031",2,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101011031
1,13,11,44,"011044",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101011044
1,13,11,44,"011044",2,,,,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101011044
1,13,11,44,"011044",5,,,,2,2,2,2,2,1,1,2,1,2,2,2,2,,,,,,,,,101011044
1,13,11,48,"011048",2,1,100,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,5,5,5,101011048
1,13,11,50,"011050",2,1,300,,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,5,5,5,101011050
1,13,11,50,"011050",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101011050
1,13,11,54,"011054",2,1,80,,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,5,5,5,101011054
1,13,11,54,"011054",3,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,5,5,5,101011054
1,13,11,54,"011054",5,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101011054
