"id1","id2","id3","id4","s1fi_hhmid","s1fii_39","s1fii_40","s1fii_41","s1fii_42","s1fii_43","s1fii_44","s1fii_45","s1fii_46","s1fii_47","s1fii_48","s1fii_49","s1fii_50","s1fii_51","s1fii_52","hhno"
1,2,25,100,5,,,,,,,,,,,,,,,101025100
1,2,25,100,4,,,,,,,,,,,,,,,101025100
1,2,25,101,4,,,,,,,,,,,,,,,101025101
1,2,25,101,2,2,,,,2,,,,,2,,2,,,101025101
1,2,25,101,3,2,,,,2,,,,,2,,2,,,101025101
1,2,25,101,1,,,,,,,,,,,,,,,101025101
1,2,26,4,2,2,,,,2,,,,,2,,2,,,101026004
1,2,26,4,4,,,,,,,,,,,,,,,101026004
1,2,26,4,1,2,,,,2,,,,,2,,2,,,101026004
1,2,26,4,3,,,,,,,,,,,,,,,101026004
1,2,26,6,6,,,,,,,,,,,,,,,101026006
1,2,26,6,5,,,,,,,,,,,,,,,101026006
1,2,26,6,4,,,,,,,,,,,,,,,101026006
1,2,26,6,1,2,,,,2,,,,,2,,1,1,,101026006
1,2,26,6,3,,,,,,,,,,,,,,,101026006
1,2,26,6,2,,,,,,,,,,,,,,,101026006
1,2,26,8,3,,,,,,,,,,,,,,,101026008
1,2,26,8,4,,,,,,,,,,,,,,,101026008
1,2,26,8,1,2,,,,2,,,,,2,,2,,,101026008
1,2,26,8,2,2,,,,2,,,,,1,2,2,,,101026008
1,2,26,10,2,,,,,,,,,,,,,,,101026010
1,2,26,10,3,,,,,,,,,,,,,,,101026010
1,2,26,10,4,,,,,,,,,,,,,,,101026010
1,2,26,10,5,,,,,,,,,,,,,,,101026010
1,2,26,10,1,2,,,,2,,,,,2,,2,,,101026010
1,2,26,17,1,,,,,,,,,,,,,,,101026017
1,2,26,19,1,2,,,,2,,,,,2,,2,,,101026019
1,2,26,19,2,2,,,,2,,,,,2,,2,,,101026019
1,2,26,19,4,,,,,,,,,,,,,,,101026019
1,2,26,19,5,,,,,,,,,,,,,,,101026019
1,2,26,19,3,,,,,,,,,,,,,,,101026019
1,2,26,23,7,2,,,,2,,,,,2,,2,,,101026023
1,2,26,23,3,1,5,1,2,2,,,,,2,,2,,,101026023
1,2,26,23,4,2,,,,2,,,,,2,,2,,"1",101026023
1,2,26,23,5,2,,,,2,,,,,2,,2,,,101026023
1,2,26,23,2,2,,,,2,,,,,1,1,2,,,101026023
1,2,26,23,6,2,,,,2,,,,,2,,2,,,101026023
1,2,26,23,1,2,,,,2,,,,,1,2,2,,,101026023
1,2,26,24,3,,,,,,,,,,,,,,,101026024
1,2,26,24,1,2,,,,2,,,,,2,,2,,,101026024
1,2,26,24,2,2,,,,2,,,,,2,,2,,,101026024
1,2,26,26,2,2,,,,2,,,,,2,,2,,,101026026
1,2,26,26,3,2,,,,2,,,,,2,,2,,,101026026
1,2,26,26,4,2,,,,2,,,,,2,,2,,,101026026
1,2,26,26,5,2,,,,2,,,,,2,,2,,,101026026
1,2,26,26,1,2,,,,2,,,,,2,,2,,,101026026
1,2,26,29,3,,,,,,,,,,,,,,,101026029
1,2,26,29,1,2,,,,2,,,,,1,3,2,,,101026029
1,2,26,29,2,,,,,,,,,,,,,,,101026029
1,2,26,29,4,,,,,,,,,,,,,,,101026029
1,2,26,30,2,,,,,,,,,,,,,,,101026030
1,2,26,30,3,,,,,,,,,,,,,,,101026030
1,2,26,30,1,,,,,,,,,,,,,,,101026030
1,2,26,39,1,,,,,,,,,,,,,,,101026039
1,2,26,40,1,2,,,,2,,,,,2,,2,,,101026040
1,2,26,40,4,,,,,,,,,,,,,,,101026040
1,2,26,40,2,2,,,,2,,,,,2,,2,,,101026040
1,2,26,40,3,2,,,,2,,,,,2,,2,,,101026040
1,2,26,42,1,2,,,,2,,,,,1,2,2,,,101026042
1,2,26,42,2,,,,,,,,,,,,,,,101026042
1,2,26,42,5,,,,,,,,,,,,,,,101026042
1,2,26,42,3,,,,,,,,,,,,,,,101026042
1,2,26,42,4,,,,,,,,,,,,,,,101026042
1,2,26,43,3,,,,,,,,,,,,,,,101026043
1,2,26,43,5,,,,,,,,,,,,,,,101026043
1,2,26,43,2,,,,,,,,,,,,,,,101026043
1,2,26,43,1,2,,,,2,,,,,2,,2,,,101026043
1,2,26,43,4,,,,,,,,,,,,,,,101026043
1,2,28,8,1,,,,,,,,,,,,,,,101028008
1,2,28,9,4,2,,,,2,,,,,1,1,2,,,101028009
1,2,28,9,3,2,,,,2,,,,,2,,2,,,101028009
1,2,28,9,1,2,,,,2,,,,,2,,2,,,101028009
1,2,28,9,2,2,,,,2,,,,,2,,2,,,101028009
1,2,28,9,5,,,,,,,,,,,,,,,101028009
1,2,28,9,7,,,,,,,,,,,,,,,101028009
1,2,28,9,6,,,,,,,,,,,,,,,101028009
1,2,28,10,2,,,,,,,,,,,,,,,101028010
1,2,28,10,1,2,,,,2,,,,,2,,2,,,101028010
1,2,28,15,2,2,,,,2,,,,,1,1,2,,,101028015
1,2,28,15,1,2,,,,2,,,,,2,,2,,,101028015
1,2,28,15,3,,,,,,,,,,,,,,,101028015
1,2,28,18,1,2,,,,2,,,,,2,,2,,,101028018
1,2,28,21,4,,,,,,,,,,,,,,,101028021
1,2,28,21,2,2,,,,2,,,,,2,,2,,,101028021
1,2,28,21,3,2,,,,2,,,,,1,1,2,,,101028021
1,2,28,21,1,,,,,,,,,,,,,,,101028021
1,2,28,26,2,,,,,,,,,,,,,,,101028026
1,2,28,26,1,,,,,,,,,,,,,,,101028026
1,2,28,26,3,2,,,,2,,,,,1,1,2,,,101028026
1,2,28,26,6,,,,,,,,,,,,,,,101028026
1,2,28,26,5,,,,,,,,,,,,,,,101028026
1,2,28,26,7,,,,,,,,,,,,,,,101028026
1,2,28,26,4,2,,,,2,,,,,2,,2,,,101028026
1,2,28,28,3,,,,,,,,,,,,,,,101028028
1,2,28,28,1,2,,,,2,,,,,1,2,2,,,101028028
1,2,28,28,2,2,,,,2,,,,,1,1,2,,,101028028
1,2,28,31,1,2,,,,2,,,,,2,,2,,,101028031
1,2,28,32,1,,,,,,,,,,,,,,,101028032
1,2,28,34,2,2,,,,2,,,,,2,,2,,,101028034
1,2,28,34,3,2,,,,2,,,,,2,,2,,,101028034
1,2,28,34,4,,,,,,,,,,,,,,,101028034
1,2,28,34,1,2,,,,2,,,,,2,,2,,,101028034
1,2,28,35,4,2,,,,2,,,,,1,1,2,,,101028035
1,2,28,35,6,,,,,,,,,,,,,,,101028035
1,2,28,35,2,2,,,,2,,,,,2,,2,,,101028035
1,2,28,35,1,2,,,,2,,,,,2,,2,,,101028035
1,2,28,35,3,2,,,,2,,,,,2,,2,,"2",101028035
1,2,28,35,5,2,,,,2,,,,,2,,2,,,101028035
1,2,28,41,1,2,,,,2,,,,,2,,2,,,101028041
1,2,28,41,3,2,,,,2,,,,,2,,2,,,101028041
1,2,28,41,6,,,,,,,,,,,,,,,101028041
1,2,28,41,4,2,,,,2,,,,,2,,2,,,101028041
