"id1","id2","id3","id4","fuel_id","itemname","s11d_1","s11d_a","s11d_b","s11d_c","s11d_d","s11d_e","s11d_f","hhno"
1,6,2,50,6,"PETROL",,,,,,,,101002050
1,6,2,50,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002050
1,6,2,50,1,"ELECTRICITY",12,7,,,,80,,101002050
1,6,2,50,4,"CHARCOAL",8,4,,,,32,,101002050
1,6,2,50,3,"KEROSENE",4,3,,,,12,,101002050
1,6,2,50,5,"FIREWOOD",,,,,,,,101002050
1,6,2,50,10,"RUBBISH/PLASTIC",,,,,,,,101002050
1,6,2,50,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002050
1,6,2,52,6,"PETROL",,,,,,,,101002052
1,6,2,52,7,"DIESEL",,,,,,,,101002052
1,6,2,52,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002052
1,6,2,52,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002052
1,6,2,52,1,"ELECTRICITY",12,4,,,,48,,101002052
1,6,2,52,8,"DUNG CAKE",,,,,,,,101002052
1,6,2,52,5,"FIREWOOD",,,,,,,,101002052
1,6,2,52,10,"RUBBISH/PLASTIC",,,,,,,,101002052
1,6,2,52,3,"KEROSENE",,,,,,,,101002052
1,6,2,52,4,"CHARCOAL",12,3,,,,36,,101002052
1,1,3,4,8,"DUNG CAKE",,,,,,,,101003004
1,1,3,4,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003004
1,1,3,4,4,"CHARCOAL",,,,,,,,101003004
1,1,3,4,10,"RUBBISH/PLASTIC",,,,,,,,101003004
1,1,3,4,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003004
1,1,3,4,6,"PETROL",,,,,,,,101003004
1,1,3,4,3,"KEROSENE",1,3,,,,3,,101003004
1,1,3,4,7,"DIESEL",,,,,,,,101003004
1,1,3,4,1,"ELECTRICITY",12,2,,,,24,,101003004
1,1,3,4,5,"FIREWOOD",12,3,,36,,,,101003004
1,1,3,5,5,"FIREWOOD",12,5,,50,,,,101003005
1,1,3,5,8,"DUNG CAKE",,,,,,,,101003005
1,1,3,5,3,"KEROSENE",6,2,,,,12,,101003005
1,1,3,5,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101003005
1,1,3,5,1,"ELECTRICITY",12,2,,,,24,,101003005
1,1,3,5,6,"PETROL",,,,,,,,101003005
1,1,3,5,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101003005
1,1,3,5,10,"RUBBISH/PLASTIC",,,,,,,,101003005
1,1,3,5,7,"DIESEL",,,,,,,,101003005
1,1,3,5,4,"CHARCOAL",,,,,,,,101003005
