"id1","id2","id3","id4","s9b1_ii","s9b1_iii","s9b1_iv","s9b1_b1a","s9b1_b1b","s9b1_b1c","s9b1_b2a","s9b1_b2b","s9b1_b2c","s9b1_b3a","s9b1_b3b","s9b1_b3c","s9b1_b4a","s9b1_b4b","s9b1_b4c","s9b1_b5a","s9b1_b5b","s9b1_b5c","s9b1_b6a","s9b1_b6b","s9b1_b6c","s9b1_b7a","s9b1_b7b","s9b1_b7c","s9b1_b8a","s9b1_b8b","s9b1_9i","s9b1_9ii","hhno"
1,2,26,19,3,14,20,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,14,22,101026019
1,2,26,23,7,15,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,15,6,101026023
1,2,26,24,2,15,20,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,15,23,101026024
1,2,26,26,5,16,22,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,16,24,101026026
1,2,26,26,4,16,18,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,,2,2,1,,,16,21,101026026
1,2,26,26,3,16,15,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,16,18,101026026
1,2,26,29,3,14,47,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,14,51,101026029
1,2,26,29,4,14,52,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,14,55,101026029
1,2,26,29,2,14,43,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,14,47,101026029
1,2,26,30,2,15,16,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,15,18,101026030
1,2,26,40,3,14,26,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,14,28,101026040
1,2,26,40,4,14,29,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,14,31,101026040
1,2,26,42,5,15,20,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,15,23,101026042
1,2,26,42,3,15,12,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,15,16,101026042
1,2,26,42,4,15,16,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,15,19,101026042
1,2,26,43,3,10,20,1,1,2,1,1,2,1,1,2,1,1,2,1,1,,1,2,2,2,2,1,,,10,22,101026043
1,2,26,43,4,10,23,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,10,25,101026043
1,2,28,15,2,14,0,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,14,11,101028015
1,2,28,21,3,14,12,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,14,20,101028021
1,2,28,21,2,14,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,14,10,101028021
1,2,28,26,6,14,17,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,14,22,101028026
1,2,28,26,5,14,9,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,14,16,101028026
1,2,28,26,4,14,0,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,,,14,8,101028026
1,2,28,34,3,14,0,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,14,10,101028034
1,2,28,34,4,14,11,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,14,18,101028034
1,2,28,35,6,14,8,2,1,2,1,1,2,2,2,1,,,,,,,,,,,,,,,14,12,101028035
1,2,28,35,5,14,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,14,7,101028035
1,2,28,41,5,14,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,14,9,101028041
1,2,28,44,3,14,0,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,14,6,101028044
1,2,28,44,4,14,7,2,1,2,1,1,2,2,1,2,2,2,1,,,,,,,,,,,,14,11,101028044
1,5,4,1,4,7,59,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,,,,,,,,,8,2,101004001
1,5,4,6,7,5,15,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,,,,,,,,,5,16,101004006
1,5,4,6,8,5,3,2,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,5,5,101004006
1,5,4,6,6,4,48,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,4,50,101004006
1,5,4,10,4,5,50,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,,,,,,,,,5,52,101004010
1,5,4,10,5,5,57,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,,,,,,,,,5,59,101004010
1,5,4,14,4,10,32,2,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,,,,10,36,101004014
1,5,4,14,3,10,45,2,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1,,,,,,10,47,101004014
1,5,4,16,5,10,15,2,1,2,1,1,2,1,1,2,2,1,,2,2,1,,,,,,,,,10,17,101004016
1,5,4,16,4,9,56,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,9,59,101004016
1,5,4,16,3,9,44,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,,,,,,9,46,101004016
1,5,4,22,4,6,25,2,1,2,2,1,2,2,1,2,2,2,1,,,,,,,,,,,,6,27,101004022
1,5,4,27,3,6,35,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,6,38,101004027
1,5,4,31,3,6,23,2,1,2,1,2,2,1,2,2,2,2,1,,,,,,,,,,,,6,25,101004031
1,5,4,31,2,6,8,1,1,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,6,9,101004031
1,5,4,32,5,3,38,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,,,,,,,,,3,40,101004032
1,5,4,32,3,3,25,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,3,28,101004032
